properties.DZCode,x,y
S01006765,-2.1307989934229523,57.19610722400482
S01006766,-2.1291383087828293,57.19947572501145
S01006767,-2.125436663195144,57.18856829958964
S01006768,-2.1258268874284654,57.18569428483644
S01006769,-2.119245370821167,57.187628567409085
S01006770,-2.1147661134984355,57.18890883086216
S01006771,-2.1153618751944983,57.193631757487
S01006772,-2.110183478078843,57.19099559624488
S01006773,-2.1219037434095394,57.193951427781684
S01006774,-2.119118713940632,57.194641659263525
S01006775,-2.119965688431902,57.18080036626315
S01006776,-2.109379827931938,57.181371078323096
S01006777,-2.112210180899614,57.18645309357875
S01006778,-2.1123412139592417,57.18464323377371
S01006779,-2.101217452977474,57.18092037026731
S01006780,-2.1048103801183613,57.177240772607284
S01006781,-2.1050500549559144,57.184395356727876
S01006782,-2.091737498723535,57.18583252182303
S01006783,-2.0968024179025893,57.18263868504451
S01006784,-2.0891919015996394,57.17733887055021
S01006785,-2.1029237317243084,57.19944882735238
S01006786,-2.1003688778785716,57.19520090741869
S01006787,-2.098676499808605,57.19217128211855
S01006788,-2.095739886118926,57.20656975793477
S01006789,-3.0467444416714566,57.04919392092799
S01006790,-3.038992857320225,57.051601968782165
S01006791,-3.1947523471982917,57.15709168034872
S01006792,-3.1220254043337916,57.01627312572647
S01006793,-3.5090312901479215,56.98927604909216
S01006794,-2.7944177538186095,57.071526675092755
S01006795,-2.7919638482055067,57.07472391442666
S01006796,-2.829727361223749,57.095874977448254
S01006797,-2.8606015518226866,57.03146470529681
S01006798,-2.700116083209917,57.01672213591117
S01006799,-2.7709422939962725,57.078637570592534
S01006800,-2.595015362536067,56.968465499630796
S01006801,-2.4828121388511777,56.848311921615036
S01006802,-2.5854544686059473,56.872377618237735
S01006803,-2.474708657647952,56.82836479477961
S01006804,-2.4735493870503618,56.83240281286489
S01006805,-2.4172741117087586,56.81705152530633
S01006806,-2.515877993026316,56.80103633686259
S01006807,-2.613974492370705,56.8191858735428
S01006808,-2.42527337159676,56.78003314672418
S01006809,-2.43373989870369,56.76231781380481
S01006810,-2.339558078265799,56.81585961587206
S01006811,-2.471171383583353,56.91644055119666
S01006812,-2.369894413019971,56.87424113794915
S01006813,-2.2867005857032074,56.82911962772741
S01006814,-2.284779597049778,56.841205661366544
S01006815,-2.283615014796967,56.844938799081724
S01006816,-2.278003800832519,56.8423947759969
S01006817,-2.279223598293247,56.862222411398356
S01006818,-2.3664635563131826,56.93921141903636
S01006819,-2.248763885311129,56.92481502113272
S01006820,-2.1829349047253572,57.01476997027486
S01006821,-2.1911163250803516,57.04271384432414
S01006822,-2.281490556689274,56.99415557388586
S01006823,-2.221616756831208,56.96121655525618
S01006824,-2.225859237747899,56.964014804440225
S01006825,-2.2310448561090626,56.962343077261814
S01006826,-2.234920346607837,56.965138059374155
S01006827,-2.2187741773407508,56.963752241289725
S01006828,-2.2072631196047596,56.96063203999225
S01006829,-2.212795444663081,56.95784404483835
S01006830,-2.2326725916225705,56.97061738943101
S01006831,-2.2263608431184743,56.9694232973618
S01006832,-2.218849419349652,56.966229110410644
S01006833,-2.2150881340979915,56.96809422911963
S01006834,-2.2269298849368147,56.97429141347939
S01006835,-2.206616787543701,56.967518510238314
S01006836,-2.212143270076367,56.97265207419485
S01006837,-2.226334747963589,56.97203324527058
S01006838,-2.236440596476862,56.968479871272436
S01006839,-2.1471489590608743,57.03202785864795
S01006840,-2.155768683845462,57.03105359051978
S01006841,-2.151483634181675,57.03702014874572
S01006842,-2.137199982609385,57.06237689576049
S01006843,-2.1433627228598966,57.06043505975754
S01006844,-2.1407259308322173,57.05783134644555
S01006845,-2.1424249035351735,57.052769880344236
S01006846,-2.140307958493491,57.05461502510094
S01006847,-2.1360376381392925,57.05638080727992
S01006848,-2.1432171200933934,57.09044816316541
S01006849,-2.135178804684773,57.07236783717391
S01006850,-2.1273306942871266,57.06628960284777
S01006851,-2.1310456385603413,57.064505939269544
S01006852,-2.1189287194128172,57.058029357532995
S01006853,-2.2347805210593585,57.07665942030088
S01006854,-2.3437724148417582,57.08113333118918
S01006855,-2.3876859531496137,57.03148269068616
S01006856,-2.4024303499155844,57.17672362204976
S01006857,-2.399565730123391,57.11626152081612
S01006858,-2.5431493239830263,57.15697497374059
S01006859,-2.486992608913765,57.057788203860405
S01006860,-2.4898640615904633,57.05466652009514
S01006861,-2.470325248816766,57.061812080600944
S01006862,-2.4828044367622204,57.05326871707534
S01006863,-2.4741012973182683,57.057365541707405
S01006864,-2.4807479717497434,57.06057183594928
S01006865,-2.49883405213171,57.05131470427967
S01006866,-2.4989523502843656,57.05515990061
S01006867,-2.5116944450195917,57.05522214274859
S01006868,-2.495779666757586,57.05760169825166
S01006869,-2.663663663490563,57.09205077802395
S01006870,-2.6211865635525697,57.10724651940787
S01006871,-2.619247403862999,57.102464499089
S01006872,-2.4482440042494757,57.071894150839945
S01006873,-2.548726232439367,57.08753678111905
S01006874,-2.6265946473948816,57.13068526958881
S01006875,-2.859042310749908,57.12983296647795
S01006876,-2.7228393458120257,57.13344603927634
S01006877,-2.7985071311531975,57.206605459720556
S01006878,-2.9232460400969944,57.244516261151134
S01006879,-2.929164732347024,57.12515701898384
S01006880,-2.4719023137902245,57.19682345327315
S01006881,-2.6116181247665256,57.19705505464661
S01006882,-2.7080680549623555,57.23529469185753
S01006883,-2.700972063650314,57.23064078689526
S01006884,-2.700155982064725,57.23416880323319
S01006885,-2.7469013756372864,57.22926281135985
