properties.InterZone,x,y
S02001291,-2.222800058773796,56.96212240654873
S02001292,-2.2208510519852185,56.96951320370342
S02001293,-2.1518621758715653,57.03311861384376
S02001294,-2.1393337129727934,57.05780863305495
S02001295,-2.1388842921534312,57.08440726357806
S02001296,-2.4055257044909517,57.10133809010255
S02001297,-2.4792137040155846,57.057840429063454
S02001298,-2.5027931963173806,57.05391590914694
S02001299,-2.560459846070472,57.097074407761035
S02001300,-2.8780102931291913,57.18736929111562
S02001301,-2.5976839810750456,57.24037992745651
S02001302,-2.4453860639136495,57.236509678205145
S02001303,-2.392461786954119,57.2894070898962
S02001304,-2.375494052026235,57.28000977193773
S02001305,-2.439671788207806,57.295086031186784
S02001306,-2.341973657835349,57.2425349740641
S02001307,-2.315549581608073,57.20177169237499
S02001308,-2.319533123942678,57.154391723826116
S02001309,-2.2854678044599726,57.15417609529541
S02001310,-2.2965310992133365,57.15004303980601
S02001311,-2.2215320356988553,57.25753100827766
S02001312,-2.117646908714765,57.24885897605743
S02001313,-2.0703822552441538,57.36578654689745
S02001314,-2.0873253233924896,57.3690569856947
S02001315,-2.025521205089836,57.37668581719623
S02001316,-2.201136366744347,57.35783857657319
S02001317,-2.3336406854470226,57.339847831722125
S02001318,-2.3739856670140735,57.4237031724116
S02001319,-2.5901193676888528,57.39658415628353
S02001320,-2.8163189733694405,57.39669961424816
S02001321,-2.7877762715067274,57.446477086438314
S02001322,-2.518555097528826,57.51171651110055
S02001323,-2.4590078010375445,57.53937469314255
S02001324,-2.716512288898375,57.63088888301991
S02001325,-2.600596170552845,57.59979092637021
S02001326,-2.5293780629526332,57.6642994503232
S02001327,-2.4899564025937067,57.6677833372874
S02001328,-2.3989371409723286,57.622925657864954
S02001329,-2.2545026496000413,57.58764653830604
S02001330,-2.1227674423140592,57.552954213385576
S02001331,-2.0088580014598314,57.52347693431999
S02001332,-2.1243846854924135,57.467509482342585
S02001333,-1.8825676924635455,57.433628882515386
S02001334,-1.8024144735588186,57.49148644062966
S02001335,-1.7980282583353024,57.50387414371253
S02001336,-1.7846428614745187,57.508380440853266
S02001337,-1.8103363037592364,57.511318471196695
S02001338,-1.9035339211720321,57.54674223270712
S02001339,-2.0318644896013502,57.65390543956805
S02001340,-2.0151541826995065,57.68126611266563
S02001341,-2.0273904806409315,57.686133981107226
S02001342,-2.0154172442173257,57.68789881529056
S02001343,-2.0138061727870507,57.69255458276003
S02001344,-3.0665718713936534,56.51750667738255
S02001345,-2.802794137805838,56.51751022561822
S02001346,-2.834875593334164,56.47950705244196
S02001347,-2.8191613100868147,56.48443814104488
S02001348,-2.7314873896058067,56.49887437902862
S02001349,-2.7083387535561996,56.504624718741155
S02001350,-2.6727695306015242,56.57323179640734
S02001351,-2.6092295067901996,56.56337748526167
S02001352,-2.6003523791950567,56.55710784833865
S02001353,-2.58236484427912,56.55989115128927
S02001354,-2.5705548269663114,56.567350972813124
S02001355,-2.58700240401282,56.57093838163492
