date,anomaly
1884-01-01,-0.444
1884-02-01,-0.333
1884-03-01,-0.506
1884-04-01,-0.509
1884-05-01,-0.566
1884-06-01,-0.514
1884-07-01,-0.566
1884-08-01,-0.429
1884-09-01,-0.504
1884-10-01,-0.463
1884-11-01,-0.585
1884-12-01,-0.490
1885-01-01,-0.656
1885-02-01,-0.553
1885-03-01,-0.421
1885-04-01,-0.635
1885-05-01,-0.606
1885-06-01,-0.637
1885-07-01,-0.421
1885-08-01,-0.405
1885-09-01,-0.357
1885-10-01,-0.362
1885-11-01,-0.384
1885-12-01,-0.218
1886-01-01,-0.480
1886-02-01,-0.479
1886-03-01,-0.487
1886-04-01,-0.362
1886-05-01,-0.293
1886-06-01,-0.502
1886-07-01,-0.302
1886-08-01,-0.457
1886-09-01,-0.391
1886-10-01,-0.413
1886-11-01,-0.491
1886-12-01,-0.395
1887-01-01,-0.744
1887-02-01,-0.659
1887-03-01,-0.445
1887-04-01,-0.483
1887-05-01,-0.530
1887-06-01,-0.526
1887-07-01,-0.389
1887-08-01,-0.446
1887-09-01,-0.389
1887-10-01,-0.445
1887-11-01,-0.435
1887-12-01,-0.497
1888-01-01,-0.619
1888-02-01,-0.587
1888-03-01,-0.597
1888-04-01,-0.352
1888-05-01,-0.411
1888-06-01,-0.322
1888-07-01,-0.339
1888-08-01,-0.311
1888-09-01,-0.325
1888-10-01,-0.166
1888-11-01,-0.265
1888-12-01,-0.259
1889-01-01,-0.297
1889-02-01,-0.007
1889-03-01,-0.087
1889-04-01,-0.087
1889-05-01,-0.158
1889-06-01,-0.213
1889-07-01,-0.281
1889-08-01,-0.307
1889-09-01,-0.342
1889-10-01,-0.370
1889-11-01,-0.506
1889-12-01,-0.344
1890-01-01,-0.534
1890-02-01,-0.465
1890-03-01,-0.611
1890-04-01,-0.494
1890-05-01,-0.537
1890-06-01,-0.495
1890-07-01,-0.489
1890-08-01,-0.467
1890-09-01,-0.482
1890-10-01,-0.439
1890-11-01,-0.670
1890-12-01,-0.399
1891-01-01,-0.580
1891-02-01,-0.598
1891-03-01,-0.363
1891-04-01,-0.448
1891-05-01,-0.346
1891-06-01,-0.375
1891-07-01,-0.400
1891-08-01,-0.355
1891-09-01,-0.257
1891-10-01,-0.343
1891-11-01,-0.534
1891-12-01,-0.218
1892-01-01,-0.465
1892-02-01,-0.290
1892-03-01,-0.533
1892-04-01,-0.546
1892-05-01,-0.457
1892-06-01,-0.436
1892-07-01,-0.587
1892-08-01,-0.508
1892-09-01,-0.382
1892-10-01,-0.434
1892-11-01,-0.661
1892-12-01,-0.792
1893-01-01,-1.045
1893-02-01,-0.845
1893-03-01,-0.427
1893-04-01,-0.515
1893-05-01,-0.572
1893-06-01,-0.442
1893-07-01,-0.244
1893-08-01,-0.287
1893-09-01,-0.365
1893-10-01,-0.304
1893-11-01,-0.405
1893-12-01,-0.485
1894-01-01,-0.628
1894-02-01,-0.430
1894-03-01,-0.512
1894-04-01,-0.538
1894-05-01,-0.519
1894-06-01,-0.584
1894-07-01,-0.392
1894-08-01,-0.354
1894-09-01,-0.440
1894-10-01,-0.399
1894-11-01,-0.460
1894-12-01,-0.552
1895-01-01,-0.636
1895-02-01,-0.642
1895-03-01,-0.618
1895-04-01,-0.461
1895-05-01,-0.483
1895-06-01,-0.425
1895-07-01,-0.335
1895-08-01,-0.377
1895-09-01,-0.394
1895-10-01,-0.326
1895-11-01,-0.321
1895-12-01,-0.367
1896-01-01,-0.315
1896-02-01,-0.337
1896-03-01,-0.588
1896-04-01,-0.546
1896-05-01,-0.356
1896-06-01,-0.230
1896-07-01,-0.182
1896-08-01,-0.172
1896-09-01,-0.155
1896-10-01,-0.118
1896-11-01,-0.314
1896-12-01,-0.094
1897-01-01,-0.300
1897-02-01,-0.349
1897-03-01,-0.416
1897-04-01,-0.118
1897-05-01,-0.114
1897-06-01,-0.163
1897-07-01,-0.187
1897-08-01,-0.185
1897-09-01,-0.186
1897-10-01,-0.212
