formOfNode,longitude,latitude
junction,-4.008,52.952
junction,-4.004,52.936
junction,-4.003,52.935
source,-3.678,52.927
source,-3.656,52.930
junction,-3.656,52.930
source,-3.646,52.935
source,-3.654,52.939
source,-3.723,52.941
source,-3.653,52.943
source,-3.660,52.943
junction,-3.729,52.944
source,-3.730,52.944
junction,-3.667,52.945
outlet,-3.649,52.945
junction,-3.723,52.945
junction,-3.657,52.946
source,-3.656,52.946
junction,-3.716,52.945
junction,-3.660,52.946
junction,-3.648,52.947
junction,-3.650,52.947
junction,-3.656,52.947
source,-3.668,52.947
junction,-3.655,52.947
source,-3.663,52.949
source,-3.656,52.950
junction,-3.707,52.950
junction,-3.718,52.958
junction,-4.069,52.950
source,-4.068,52.943
junction,-4.068,52.943
junction,-4.066,52.932
source,-4.065,52.943
junction,-4.064,52.948
source,-4.063,52.934
junction,-4.063,52.947
junction,-4.061,52.923
source,-4.060,52.948
source,-4.059,52.944
source,-4.057,52.950
source,-4.054,52.951
source,-4.053,52.933
junction,-4.053,52.933
source,-4.052,52.949
source,-4.048,52.936
source,-4.039,52.945
source,-4.035,52.942
source,-3.908,52.946
source,-3.907,52.960
junction,-3.906,52.955
source,-3.905,52.957
junction,-3.905,52.957
source,-3.899,52.934
source,-3.898,52.960
junction,-3.897,52.954
junction,-3.896,52.923
junction,-3.896,52.924
source,-3.895,52.951
source,-3.890,52.926
source,-3.889,52.932
source,-3.888,52.924
junction,-3.887,52.953
junction,-3.887,52.954
source,-3.887,52.954
source,-3.886,52.962
source,-3.881,52.944
junction,-3.879,52.927
source,-3.879,52.929
source,-3.873,52.941
junction,-3.868,52.959
source,-3.866,52.931
junction,-3.862,52.955
source,-3.862,52.969
junction,-3.860,52.966
junction,-3.918,52.923
source,-3.918,52.924
source,-3.913,52.925
source,-3.942,52.927
source,-3.915,52.928
source,-3.908,52.931
junction,-3.910,52.931
junction,-3.917,52.932
junction,-3.952,52.931
source,-3.947,52.931
source,-3.916,52.932
source,-3.923,52.932
source,-3.956,52.934
junction,-3.956,52.934
source,-3.927,52.935
source,-3.948,52.936
junction,-3.957,52.936
junction,-3.956,52.936
junction,-3.933,52.937
junction,-3.956,52.937
junction,-3.936,52.938
source,-3.935,52.938
junction,-3.955,52.938
source,-3.939,52.940
junction,-3.955,52.943
junction,-3.952,52.943
junction,-3.824,52.924
junction,-3.776,52.925
junction,-3.822,52.925
source,-3.854,52.924
junction,-3.791,52.926
junction,-3.820,52.927
source,-3.819,52.927
source,-3.824,52.927
junction,-3.820,52.928
source,-3.779,52.929
junction,-3.779,52.929
junction,-3.779,52.929
junction,-3.803,52.930
source,-3.804,52.930
source,-3.814,52.931
source,-3.850,52.930
source,-3.800,52.932
junction,-3.848,52.932
source,-3.839,52.933
junction,-3.839,52.934
source,-3.857,52.934
junction,-3.769,52.936
junction,-3.825,52.936
junction,-3.833,52.937
source,-3.999,52.925
junction,-3.998,52.925
source,-3.996,52.946
source,-3.992,52.926
junction,-3.991,52.927
junction,-3.985,52.929
source,-3.985,52.929
junction,-3.985,52.930
junction,-3.986,52.948
junction,-3.984,52.929
source,-3.984,52.929
source,-3.983,52.923
junction,-3.982,52.923
source,-3.981,52.950
junction,-3.980,52.925
junction,-3.979,52.925
source,-3.972,52.928
junction,-3.970,52.952
source,-3.968,52.931
source,-3.967,52.936
source,-3.963,52.936
junction,-3.847,53.255
source,-3.816,53.257
source,-3.816,53.256
source,-3.807,53.297
junction,-3.806,53.288
source,-3.805,53.288
source,-3.796,53.258
junction,-3.796,53.258
junction,-3.796,53.258
junction,-3.789,53.282
source,-3.787,53.308
source,-3.778,53.285
source,-3.777,53.279
junction,-3.776,53.285
source,-3.770,53.310
source,-3.768,53.292
junction,-3.767,53.307
junction,-3.766,53.312
source,-3.756,53.256
source,-3.754,53.273
source,-3.740,53.261
source,-3.727,53.277
junction,-3.721,53.288
source,-3.708,53.265
outlet,-3.697,53.293
junction,-3.694,53.280
source,-3.681,53.278
source,-4.027,53.242
junction,-3.953,53.244
junction,-3.996,53.246
source,-4.008,53.245
junction,-3.962,53.248
junction,-4.083,53.293
junction,-3.944,53.244
source,-3.941,53.244
source,-3.930,53.246
source,-3.872,53.250
source,-3.897,53.251
source,-3.941,53.252
source,-3.908,53.253
junction,-3.894,53.257
source,-3.894,53.258
junction,-3.893,53.258
source,-3.917,53.261
source,-3.887,53.265
junction,-3.887,53.265
outlet,-3.924,53.272
source,-3.855,53.274
source,-3.857,53.276
junction,-3.856,53.277
outlet,-3.899,53.282
junction,-3.765,53.219
junction,-3.797,53.219
source,-3.759,53.223
source,-3.744,53.224
source,-3.796,53.225
junction,-3.800,53.227
source,-3.753,53.228
junction,-3.749,53.230
junction,-3.800,53.231
source,-3.816,53.233
source,-3.774,53.235
source,-3.818,53.245
source,-3.751,53.250
source,-3.832,53.251
source,-3.794,53.252
junction,-3.774,53.255
junction,-3.846,53.254
junction,-3.758,53.256
junction,-3.880,53.210
source,-3.847,53.211
source,-3.883,53.211
source,-3.883,53.211
junction,-3.846,53.211
junction,-3.875,53.213
source,-3.906,53.213
source,-3.877,53.213
source,-3.884,53.214
source,-3.895,53.215
junction,-3.900,53.217
source,-3.867,53.218
junction,-3.889,53.219
junction,-3.867,53.220
junction,-3.860,53.222
junction,-3.880,53.222
source,-3.921,53.223
junction,-3.855,53.224
source,-3.894,53.225
junction,-3.866,53.227
source,-3.878,53.229
junction,-3.873,53.232
source,-3.883,53.234
junction,-3.856,53.236
source,-3.881,53.236
source,-3.944,53.239
source,-3.870,53.241
source,-3.859,53.243
source,-4.059,53.201
source,-4.046,53.201
source,-4.059,53.204
source,-4.069,53.205
junction,-4.069,53.205
junction,-4.058,53.206
junction,-4.072,53.206
source,-4.057,53.206
source,-4.049,53.208
source,-4.007,53.209
source,-4.006,53.210
junction,-4.006,53.211
source,-4.033,53.218
source,-4.037,53.218
junction,-4.038,53.220
source,-4.048,53.220
source,-4.075,53.221
source,-4.035,53.227
junction,-4.071,53.227
source,-4.079,53.229
source,-4.034,53.234
junction,-4.034,53.234
junction,-4.020,53.238
source,-4.020,53.238
source,-3.735,53.207
source,-3.731,53.227
source,-3.726,53.250
source,-3.722,53.209
junction,-3.722,53.209
source,-3.712,53.216
junction,-3.708,53.207
source,-3.709,53.234
junction,-3.707,53.234
junction,-3.707,53.238
junction,-3.705,53.208
source,-3.705,53.224
source,-3.702,53.255
junction,-3.700,53.239
source,-3.688,53.217
junction,-3.684,53.205
source,-3.681,53.211
junction,-3.679,53.210
junction,-3.678,53.254
junction,-3.674,53.213
source,-3.672,53.233
junction,-3.669,53.255
junction,-3.669,53.254
source,-3.666,53.251
source,-3.773,53.204
junction,-3.836,53.203
source,-3.836,53.203
junction,-3.784,53.206
junction,-3.783,53.206
source,-3.833,53.205
source,-3.794,53.206
source,-3.836,53.206
source,-3.839,53.206
junction,-3.833,53.207
source,-3.816,53.207
junction,-3.791,53.208
source,-3.837,53.208
source,-3.779,53.209
junction,-3.839,53.210
junction,-3.791,53.210
junction,-3.835,53.210
source,-3.843,53.211
source,-3.765,53.215
source,-3.836,53.188
source,-3.837,53.188
junction,-3.837,53.188
source,-3.827,53.189
junction,-3.835,53.189
source,-3.829,53.191
junction,-3.835,53.192
source,-3.836,53.193
source,-3.833,53.193
source,-3.837,53.196
junction,-3.827,53.197
junction,-3.830,53.197
source,-3.829,53.200
source,-3.840,53.200
junction,-3.836,53.203
source,-4.002,53.181
junction,-4.004,53.227
junction,-4.001,53.213
junction,-3.999,53.180
source,-3.999,53.180
junction,-4.000,53.215
source,-3.996,53.200
junction,-3.989,53.239
source,-3.989,53.239
source,-3.983,53.234
junction,-3.981,53.220
source,-3.981,53.219
source,-3.973,53.238
junction,-3.969,53.194
source,-3.969,53.193
source,-3.966,53.192
junction,-3.964,53.220
source,-3.964,53.220
source,-3.955,53.181
junction,-3.954,53.217
source,-3.954,53.216
source,-3.954,53.236
junction,-3.953,53.240
source,-3.952,53.236
junction,-3.951,53.243
source,-4.024,53.178
junction,-4.025,53.178
junction,-4.059,53.178
source,-4.063,53.178
junction,-4.072,53.178
source,-4.072,53.178
junction,-4.003,53.180
junction,-4.063,53.180
junction,-4.071,53.180
junction,-4.050,53.182
source,-4.077,53.182
source,-4.056,53.183
junction,-4.074,53.184
junction,-4.044,53.185
source,-4.046,53.185
source,-4.039,53.186
junction,-4.079,53.186
junction,-4.041,53.187
source,-4.045,53.187
source,-4.027,53.193
junction,-4.028,53.193
source,-4.021,53.196
junction,-4.066,53.197
source,-4.058,53.198
junction,-3.937,53.179
outlet,-3.943,53.178
source,-3.943,53.179
source,-3.871,53.181
junction,-3.870,53.181
outlet,-3.862,53.182
source,-3.862,53.183
junction,-3.862,53.184
source,-3.864,53.184
junction,-3.917,53.188
junction,-3.911,53.189
junction,-3.889,53.192
source,-3.942,53.191
source,-3.897,53.193
junction,-3.884,53.194
junction,-3.884,53.195
source,-3.888,53.197
junction,-3.880,53.198
source,-3.883,53.199
source,-3.876,53.201
source,-3.931,53.200
source,-3.947,53.206
source,-3.863,53.209
source,-3.949,53.208
junction,-3.949,53.208
source,-3.825,53.172
source,-3.822,53.173
source,-3.842,53.174
junction,-3.818,53.175
source,-3.840,53.176
junction,-3.826,53.177
junction,-3.842,53.176
junction,-3.840,53.177
junction,-3.828,53.178
source,-3.829,53.178
source,-3.824,53.178
source,-3.827,53.179
source,-3.838,53.184
source,-3.820,53.184
source,-3.830,53.186
source,-3.823,53.186
junction,-3.831,53.186
source,-3.837,53.186
junction,-3.833,53.188
junction,-3.818,53.174
source,-3.810,53.195
junction,-3.806,53.176
source,-3.806,53.176
source,-3.799,53.175
source,-3.793,53.191
junction,-3.792,53.171
source,-3.792,53.174
source,-3.790,53.171
junction,-3.780,53.198
junction,-3.769,53.183
source,-3.769,53.196
source,-3.757,53.186
source,-3.754,53.173
source,-3.746,53.186
source,-3.740,53.175
source,-3.741,53.194
junction,-3.737,53.182
source,-3.736,53.179
junction,-3.736,53.179
source,-3.735,53.179
junction,-3.733,53.190
source,-3.713,53.204
source,-3.697,53.183
junction,-3.690,53.191
junction,-3.682,53.192
junction,-3.681,53.191
junction,-3.835,53.151
source,-3.795,53.156
source,-3.838,53.156
source,-3.825,53.157
source,-3.821,53.163
source,-3.817,53.164
source,-3.825,53.164
junction,-3.821,53.165
source,-3.820,53.166
source,-3.792,53.167
junction,-3.820,53.167
source,-3.817,53.167
source,-3.839,53.167
source,-3.813,53.170
source,-3.817,53.170
junction,-3.796,53.170
junction,-3.799,53.171
junction,-4.079,53.173
source,-4.076,53.169
source,-4.074,53.143
source,-4.075,53.174
junction,-4.075,53.174
junction,-4.059,53.174
junction,-4.058,53.175
source,-4.049,53.159
source,-4.048,53.141
junction,-4.049,53.175
junction,-4.047,53.161
junction,-4.047,53.157
source,-4.047,53.177
junction,-4.045,53.156
junction,-4.045,53.151
source,-4.044,53.152
junction,-4.043,53.149
source,-4.043,53.158
junction,-4.044,53.174
source,-4.041,53.145
source,-4.041,53.143
junction,-4.041,53.146
junction,-4.041,53.149
junction,-4.040,53.143
source,-4.040,53.146
junction,-4.039,53.145
junction,-4.039,53.145
junction,-3.861,53.140
junction,-3.860,53.140
source,-3.862,53.141
junction,-3.847,53.144
source,-3.867,53.145
source,-3.884,53.149
junction,-3.887,53.151
source,-3.888,53.153
junction,-3.887,53.153
junction,-3.873,53.164
junction,-3.913,53.164
source,-3.865,53.165
junction,-3.864,53.165
source,-3.874,53.167
source,-3.897,53.167
source,-3.866,53.169
junction,-3.853,53.170
junction,-3.855,53.170
junction,-3.902,53.170
source,-3.844,53.171
source,-3.857,53.171
source,-3.848,53.173
junction,-3.849,53.173
junction,-3.848,53.174
source,-3.894,53.174
junction,-3.894,53.174
source,-3.913,53.175
source,-4.038,53.141
junction,-4.040,53.173
junction,-4.039,53.175
source,-4.038,53.149
source,-4.038,53.170
source,-4.036,53.141
junction,-4.037,53.172
junction,-4.035,53.142
junction,-4.035,53.141
source,-4.033,53.142
source,-4.034,53.175
source,-4.033,53.170
junction,-4.032,53.135
junction,-4.031,53.136
source,-4.031,53.135
source,-4.028,53.137
source,-4.020,53.149
source,-3.999,53.138
junction,-3.998,53.157
junction,-3.998,53.156
source,-3.998,53.157
source,-3.993,53.134
source,-3.992,53.155
source,-3.991,53.153
source,-3.980,53.142
source,-3.971,53.171
source,-3.965,53.150
junction,-3.962,53.135
source,-3.963,53.152
junction,-3.733,53.127
junction,-3.772,53.128
source,-3.654,53.131
junction,-3.780,53.132
source,-3.708,53.133
source,-3.776,53.135
source,-3.699,53.138
source,-3.739,53.138
junction,-3.678,53.140
source,-3.759,53.141
junction,-3.776,53.144
source,-3.775,53.144
source,-3.783,53.147
junction,-3.783,53.147
source,-3.721,53.148
junction,-3.717,53.148
source,-3.705,53.149
source,-3.740,53.156
junction,-3.663,53.159
source,-3.745,53.158
junction,-3.741,53.158
junction,-3.662,53.162
junction,-3.730,53.162
junction,-3.695,53.171
junction,-3.692,53.172
source,-3.962,53.136
junction,-3.962,53.151
junction,-3.960,53.122
junction,-3.955,53.122
outlet,-3.956,53.143
source,-3.957,53.162
source,-3.955,53.142
junction,-3.954,53.121
source,-3.953,53.128
source,-3.945,53.122
junction,-3.937,53.132
source,-3.937,53.134
source,-3.936,53.139
source,-3.937,53.178
source,-3.934,53.152
source,-3.931,53.131
source,-3.924,53.152
junction,-3.924,53.153
junction,-3.924,53.154
source,-3.920,53.166
junction,-3.919,53.157
junction,-3.918,53.165
junction,-3.917,53.159
source,-3.917,53.159
source,-3.917,53.157
source,-3.861,53.123
source,-3.891,53.123
junction,-3.855,53.124
source,-3.849,53.125
source,-3.871,53.125
junction,-3.888,53.126
source,-3.888,53.126
source,-3.879,53.127
junction,-3.885,53.127
source,-3.882,53.128
junction,-3.851,53.128
junction,-3.881,53.128
junction,-3.880,53.128
junction,-3.880,53.128
junction,-3.880,53.128
source,-3.881,53.128
junction,-3.887,53.128
source,-3.887,53.129
junction,-3.875,53.130
junction,-3.873,53.131
source,-3.881,53.131
source,-3.891,53.134
source,-3.879,53.139
source,-3.970,53.115
source,-4.011,53.118
source,-3.973,53.121
source,-3.976,53.123
junction,-3.971,53.123
junction,-3.972,53.124
junction,-4.014,53.124
source,-3.992,53.125
junction,-4.021,53.125
junction,-3.992,53.125
junction,-3.988,53.125
junction,-3.989,53.125
junction,-3.998,53.125
junction,-3.984,53.126
junction,-3.983,53.126
junction,-4.026,53.126
source,-4.024,53.127
source,-3.998,53.128
source,-3.989,53.129
source,-3.974,53.130
source,-3.981,53.131
junction,-3.993,53.131
source,-3.962,53.132
source,-3.793,53.118
junction,-3.793,53.120
junction,-3.786,53.123
junction,-3.793,53.123
source,-3.821,53.123
source,-3.841,53.124
source,-3.812,53.130
junction,-3.812,53.131
junction,-3.796,53.131
junction,-3.795,53.134
junction,-3.801,53.138
source,-3.829,53.138
junction,-3.811,53.138
junction,-3.828,53.139
source,-3.816,53.140
source,-3.832,53.140
junction,-3.807,53.142
junction,-3.806,53.146
junction,-3.842,53.149
source,-3.842,53.150
source,-3.821,53.090
junction,-3.816,53.093
junction,-3.815,53.093
junction,-3.828,53.094
junction,-3.823,53.094
junction,-3.826,53.098
junction,-3.797,53.100
source,-3.823,53.100
source,-3.812,53.102
junction,-3.836,53.102
junction,-3.838,53.102
junction,-3.788,53.110
source,-3.827,53.114
junction,-3.787,53.115
outlet,-3.828,53.114
source,-3.834,53.115
junction,-3.787,53.118
source,-3.701,53.091
source,-3.781,53.091
junction,-3.744,53.094
source,-3.756,53.094
source,-3.717,53.095
source,-3.739,53.098
source,-3.666,53.100
junction,-3.740,53.099
source,-3.773,53.099
source,-3.729,53.106
junction,-3.774,53.107
source,-3.743,53.110
source,-3.680,53.113
junction,-3.681,53.114
source,-3.750,53.116
source,-3.670,53.118
source,-3.785,53.116
junction,-3.688,53.119
junction,-3.687,53.119
source,-3.696,53.120
source,-3.783,53.118
source,-3.768,53.122
source,-3.784,53.123
source,-3.757,53.124
source,-3.730,53.124
junction,-3.769,53.124
junction,-3.769,53.125
junction,-3.769,53.126
source,-3.730,53.127
junction,-3.919,53.101
source,-3.917,53.119
source,-3.915,53.107
junction,-3.913,53.102
junction,-3.913,53.109
junction,-3.911,53.110
source,-3.911,53.110
source,-3.909,53.093
source,-3.910,53.111
source,-3.905,53.104
junction,-3.905,53.102
junction,-3.902,53.101
source,-3.898,53.097
junction,-3.896,53.105
junction,-3.896,53.096
source,-3.895,53.096
junction,-3.895,53.096
junction,-3.893,53.097
source,-3.890,53.094
source,-3.890,53.106
junction,-3.890,53.094
junction,-3.888,53.094
source,-3.888,53.088
junction,-3.888,53.094
junction,-3.887,53.092
source,-4.076,53.090
source,-4.076,53.100
junction,-4.073,53.098
junction,-4.072,53.111
junction,-4.071,53.097
source,-4.070,53.111
source,-4.069,53.114
source,-4.066,53.085
source,-4.065,53.085
junction,-4.064,53.101
junction,-4.061,53.089
source,-4.059,53.089
junction,-4.059,53.092
junction,-4.056,53.091
source,-4.056,53.101
source,-4.049,53.104
source,-4.043,53.124
junction,-4.041,53.086
source,-4.029,53.113
source,-4.028,53.111
junction,-4.029,53.130
source,-4.029,53.128
junction,-4.027,53.113
junction,-4.028,53.129
junction,-4.028,53.129
source,-4.027,53.123
source,-4.027,53.129
junction,-4.027,53.127
source,-3.885,53.096
junction,-3.883,53.096
source,-3.880,53.094
source,-3.880,53.114
junction,-3.878,53.095
junction,-3.876,53.096
junction,-3.872,53.089
junction,-3.871,53.099
source,-3.869,53.087
source,-3.869,53.106
junction,-3.868,53.098
source,-3.867,53.091
source,-3.860,53.090
source,-3.860,53.100
junction,-3.860,53.100
junction,-3.856,53.100
source,-3.853,53.114
source,-3.850,53.093
junction,-3.849,53.122
source,-3.844,53.118
source,-3.842,53.105
junction,-3.842,53.105
junction,-3.841,53.102
source,-3.959,53.094
junction,-3.955,53.091
junction,-3.950,53.088
source,-3.950,53.097
source,-3.947,53.094
source,-3.948,53.119
junction,-3.948,53.118
junction,-3.947,53.094
junction,-3.948,53.118
junction,-3.946,53.095
junction,-3.946,53.118
source,-3.946,53.114
junction,-3.944,53.085
junction,-3.945,53.118
source,-3.945,53.118
source,-3.943,53.086
junction,-3.942,53.119
junction,-3.938,53.094
junction,-3.936,53.096
junction,-3.935,53.096
source,-3.932,53.086
source,-3.931,53.116
junction,-3.931,53.116
source,-3.927,53.089
source,-3.927,53.090
junction,-3.923,53.115
junction,-3.922,53.101
source,-3.981,53.085
source,-3.997,53.084
junction,-3.981,53.085
junction,-3.997,53.085
junction,-3.973,53.085
junction,-3.983,53.085
source,-4.000,53.085
junction,-3.983,53.085
junction,-3.971,53.086
junction,-3.971,53.086
source,-3.971,53.086
junction,-3.969,53.086
source,-3.986,53.087
junction,-3.984,53.087
junction,-3.966,53.087
source,-3.987,53.089
source,-4.019,53.089
junction,-3.960,53.090
junction,-4.015,53.089
junction,-4.015,53.089
source,-4.015,53.090
source,-4.016,53.091
junction,-3.974,53.094
source,-3.972,53.094
source,-3.975,53.095
source,-3.990,53.095
source,-3.962,53.097
source,-3.985,53.101
source,-3.987,53.115
junction,-4.260,52.061
junction,-4.206,52.062
source,-4.206,52.063
junction,-4.204,52.063
junction,-4.183,52.063
junction,-4.291,52.062
source,-4.290,52.062
source,-4.207,52.064
junction,-4.200,52.064
source,-4.179,52.065
junction,-4.200,52.065
source,-4.199,52.068
junction,-4.199,52.068
source,-4.199,52.069
junction,-4.166,52.074
junction,-4.265,52.073
source,-4.173,52.080
junction,-4.190,52.081
junction,-4.277,52.082
source,-4.249,52.083
source,-4.277,52.083
junction,-4.276,52.087
source,-4.271,52.088
source,-4.241,52.090
junction,-4.281,52.091
source,-4.222,52.096
junction,-4.031,52.042
source,-4.029,52.091
source,-4.020,52.045
source,-4.011,52.084
source,-4.006,52.058
source,-4.004,52.087
junction,-4.002,52.087
junction,-4.001,52.082
source,-4.002,52.089
source,-3.992,52.070
source,-3.990,52.046
junction,-3.990,52.071
source,-3.984,52.036
source,-3.984,52.087
junction,-3.977,52.054
junction,-3.978,52.085
source,-3.977,52.096
junction,-3.976,52.097
source,-3.975,52.085
junction,-3.975,52.084
junction,-3.973,52.053
junction,-3.975,52.095
junction,-3.970,52.077
junction,-3.969,52.072
junction,-3.962,52.046
source,-3.959,52.100
junction,-3.951,52.087
junction,-3.950,52.088
source,-3.944,52.040
source,-3.944,52.085
junction,-3.943,52.068
junction,-3.942,52.059
junction,-3.941,52.056
source,-3.941,52.057
source,-3.942,52.096
junction,-3.936,52.035
source,-3.935,52.062
source,-3.936,52.089
source,-3.916,52.094
source,-3.903,52.065
junction,-3.904,52.081
source,-3.879,52.084
source,-3.877,52.048
source,-3.874,52.061
source,-3.874,52.073
junction,-3.867,52.074
source,-3.864,52.063
junction,-3.864,52.061
source,-3.862,52.080
junction,-4.087,52.086
source,-4.086,52.082
source,-4.086,52.090
junction,-4.085,52.085
source,-4.084,52.085
junction,-4.083,52.084
junction,-4.078,52.080
source,-4.078,52.084
source,-4.075,52.030
junction,-4.073,52.029
source,-4.075,52.079
junction,-4.074,52.094
source,-4.073,52.092
source,-4.070,52.074
source,-4.070,52.095
source,-4.066,52.088
junction,-4.066,52.089
source,-4.059,52.039
junction,-4.057,52.039
source,-4.057,52.046
source,-4.052,52.099
source,-4.050,52.081
junction,-4.050,52.082
source,-4.049,52.081
junction,-4.044,52.098
junction,-4.040,52.035
source,-4.040,52.093
source,-4.036,52.074
source,-4.156,52.056
source,-4.157,52.097
junction,-4.154,52.080
junction,-4.150,52.074
junction,-4.148,52.091
source,-4.143,52.063
source,-4.140,52.020
junction,-4.139,52.095
junction,-4.136,52.072
junction,-4.134,52.070
source,-4.133,52.070
junction,-4.133,52.095
junction,-4.124,52.065
source,-4.120,52.059
junction,-4.120,52.061
source,-4.120,52.074
source,-4.116,52.050
junction,-4.118,52.093
junction,-4.118,52.097
source,-4.112,52.020
source,-4.112,52.085
junction,-4.112,52.085
junction,-4.109,52.083
source,-4.106,52.079
source,-4.098,52.066
junction,-4.100,52.097
source,-4.092,52.043
junction,-4.093,52.092
source,-4.089,52.073
source,-4.200,52.004
junction,-4.266,52.003
junction,-4.258,52.004
source,-4.171,52.009
source,-4.283,52.011
junction,-4.237,52.018
junction,-4.277,52.020
source,-4.195,52.027
source,-4.288,52.035
source,-4.283,52.036
junction,-4.283,52.036
source,-4.236,52.038
source,-4.158,52.040
junction,-4.235,52.038
source,-4.185,52.039
junction,-4.269,52.040
junction,-4.281,52.040
source,-4.196,52.044
junction,-4.189,52.048
junction,-4.228,52.049
junction,-4.221,52.051
source,-4.231,52.053
source,-4.191,52.059
junction,-4.191,52.059
junction,-4.187,52.060
junction,-4.181,52.062
junction,-3.921,51.989
source,-3.920,51.990
source,-3.986,51.989
source,-4.029,51.988
junction,-3.992,51.991
junction,-3.990,51.992
source,-3.930,51.996
junction,-3.984,51.996
source,-3.982,51.997
source,-3.967,51.998
junction,-3.977,52.001
source,-4.027,52.000
junction,-3.976,52.002
junction,-4.019,52.004
junction,-4.009,52.006
junction,-3.982,52.012
source,-3.920,52.018
junction,-3.977,52.019
source,-3.951,52.020
junction,-3.960,52.021
junction,-3.970,52.024
source,-3.937,52.029
junction,-3.951,52.029
source,-3.970,52.030
junction,-3.989,52.031
source,-3.991,52.032
junction,-4.152,51.946
source,-4.152,51.960
source,-4.151,51.946
junction,-4.150,51.950
junction,-4.145,51.951
source,-4.146,51.984
source,-4.142,51.970
junction,-4.143,51.988
junction,-4.142,51.984
source,-4.136,52.004
junction,-4.135,51.969
junction,-4.133,51.949
junction,-4.129,51.945
source,-4.125,51.946
junction,-4.123,51.955
junction,-4.103,51.967
source,-4.104,52.000
source,-4.100,51.944
source,-4.090,51.951
source,-4.069,51.958
source,-4.070,51.971
junction,-4.061,51.983
junction,-4.060,51.987
junction,-4.057,51.981
source,-4.052,51.990
junction,-4.047,51.978
source,-4.045,51.952
source,-3.908,52.008
source,-3.905,51.991
junction,-3.903,52.014
junction,-3.902,52.005
junction,-3.899,51.939
junction,-3.899,51.943
source,-3.894,51.960
source,-3.895,51.983
junction,-3.892,51.950
junction,-3.891,51.989
junction,-3.889,51.983
source,-3.886,52.027
junction,-3.880,51.953
source,-3.879,51.954
junction,-3.879,51.977
source,-3.875,51.985
source,-3.874,52.012
junction,-3.870,51.940
junction,-3.872,52.013
junction,-3.867,51.963
source,-3.867,52.002
junction,-3.860,51.966
source,-3.860,51.966
junction,-3.857,51.946
junction,-3.859,52.004
junction,-3.857,51.969
junction,-3.857,51.969
source,-3.852,51.969
junction,-3.850,51.989
source,-4.281,51.986
junction,-4.275,51.935
junction,-4.274,51.932
source,-4.276,51.997
junction,-4.273,51.936
junction,-4.274,51.991
junction,-4.273,51.997
junction,-4.270,52.000
source,-4.267,51.947
source,-4.263,51.979
source,-4.253,51.989
junction,-4.239,51.999
source,-4.231,51.971
source,-4.230,51.999
source,-4.229,51.987
junction,-4.209,51.936
source,-4.203,51.940
source,-4.192,51.958
source,-4.186,51.986
junction,-4.172,51.947
source,-4.167,51.935
source,-4.164,51.955
junction,-4.157,51.956
junction,-4.157,51.958
junction,-4.155,51.998
source,-4.152,51.946
source,-4.024,51.936
source,-4.012,51.938
junction,-4.014,51.939
junction,-3.956,51.942
source,-4.005,51.942
junction,-4.006,51.943
source,-3.938,51.946
junction,-3.958,51.948
source,-4.013,51.947
junction,-3.984,51.953
junction,-4.000,51.953
source,-3.941,51.955
junction,-3.967,51.955
source,-4.011,51.958
junction,-3.970,51.961
source,-3.959,51.965
junction,-3.911,51.966
source,-3.911,51.967
junction,-3.961,51.966
junction,-3.955,51.968
source,-3.986,51.972
source,-3.939,51.976
source,-4.023,51.981
source,-3.946,51.983
source,-3.997,51.984
junction,-3.994,51.984
junction,-4.029,51.984
source,-4.001,51.984
junction,-4.024,51.985
junction,-3.930,51.897
junction,-3.912,51.897
source,-3.907,51.898
junction,-3.919,51.898
junction,-3.959,51.897
junction,-3.968,51.898
source,-3.895,51.900
junction,-3.848,51.902
junction,-3.850,51.905
source,-3.915,51.907
junction,-3.944,51.907
junction,-3.916,51.908
source,-3.943,51.908
source,-3.973,51.908
source,-3.888,51.910
junction,-3.924,51.912
junction,-3.928,51.915
junction,-3.870,51.917
junction,-3.929,51.918
source,-3.935,51.925
junction,-3.920,51.926
source,-3.923,51.927
source,-3.919,51.929
junction,-3.962,51.930
source,-3.972,51.935
junction,-3.900,51.936
junction,-4.046,51.892
source,-4.047,51.893
source,-4.029,51.894
junction,-3.974,51.896
source,-4.064,51.895
junction,-3.977,51.898
source,-4.013,51.898
junction,-4.040,51.898
source,-3.988,51.901
source,-4.035,51.901
junction,-4.046,51.901
junction,-4.042,51.906
source,-4.057,51.906
junction,-4.004,51.907
source,-4.045,51.909
source,-3.999,51.910
junction,-4.027,51.915
source,-4.009,51.915
source,-3.981,51.921
junction,-3.976,51.921
source,-3.997,51.923
junction,-3.975,51.924
source,-4.044,51.925
source,-4.034,51.929
source,-3.985,51.931
source,-4.158,51.886
junction,-4.093,51.889
junction,-4.096,51.894
source,-4.098,51.894
junction,-4.086,51.895
junction,-4.135,51.896
junction,-4.133,51.898
source,-4.138,51.899
source,-4.129,51.899
junction,-4.169,51.899
source,-4.081,51.902
junction,-4.171,51.901
source,-4.175,51.902
junction,-4.138,51.902
source,-4.128,51.909
junction,-4.131,51.910
source,-4.175,51.909
source,-4.147,51.910
junction,-4.072,51.913
junction,-4.094,51.916
junction,-4.135,51.917
junction,-4.142,51.919
junction,-4.136,51.919
source,-4.143,51.919
source,-4.143,51.920
source,-4.125,51.921
source,-4.162,51.921
junction,-4.131,51.926
source,-4.130,51.927
junction,-4.133,51.931
source,-4.137,51.932
junction,-4.280,51.873
