formOfNode,longitude,latitude
source,-3.255,53.020
junction,-3.253,53.023
junction,-3.252,53.024
source,-3.250,52.985
junction,-3.250,52.983
junction,-3.246,52.971
source,-3.246,53.018
source,-3.238,53.002
junction,-3.233,52.974
junction,-3.226,52.992
source,-3.207,53.029
junction,-3.202,52.982
source,-3.199,52.993
source,-3.199,53.032
junction,-3.196,52.980
source,-3.196,53.012
junction,-3.194,53.012
source,-3.193,53.019
junction,-2.985,52.959
source,-3.030,52.959
junction,-3.050,52.960
junction,-3.041,52.962
junction,-2.968,52.964
junction,-2.974,52.969
source,-2.975,52.969
junction,-3.055,52.971
junction,-2.963,52.973
source,-2.970,52.973
source,-2.973,52.986
source,-3.004,52.986
junction,-2.959,52.986
source,-2.975,52.993
junction,-3.023,53.001
source,-2.975,53.002
junction,-2.964,53.004
source,-3.059,53.004
source,-2.971,53.009
junction,-3.187,53.003
junction,-3.185,52.984
junction,-3.184,52.956
source,-3.179,52.978
source,-3.172,53.001
junction,-3.171,53.006
junction,-3.165,52.970
source,-3.150,53.024
source,-3.144,52.964
junction,-3.138,52.975
source,-3.138,52.978
junction,-3.127,52.964
source,-3.118,52.967
source,-3.117,52.987
junction,-3.114,52.963
source,-3.106,53.003
source,-3.104,52.965
junction,-3.102,52.964
source,-3.100,52.963
junction,-3.099,52.963
source,-3.098,53.016
source,-3.097,52.980
source,-3.096,53.000
source,-3.097,53.030
source,-3.095,53.026
junction,-3.092,53.001
source,-3.091,52.972
junction,-3.090,52.971
junction,-3.086,52.979
junction,-3.083,52.968
junction,-3.085,53.026
source,-3.083,52.986
source,-3.082,52.963
junction,-3.081,52.976
source,-3.082,53.024
junction,-3.078,52.965
junction,-3.075,53.026
junction,-3.073,53.001
source,-3.070,52.993
junction,-3.068,52.963
source,-3.067,52.965
source,-3.064,52.956
source,-3.064,52.955
source,-2.728,52.954
source,-2.792,52.954
junction,-2.724,52.956
junction,-2.835,52.957
source,-2.766,52.961
source,-2.860,52.961
junction,-2.861,52.977
junction,-2.727,52.983
junction,-2.760,52.987
junction,-2.866,52.988
junction,-2.867,53.008
source,-2.884,53.009
source,-2.862,53.014
junction,-2.861,53.020
junction,-2.882,53.020
junction,-2.861,53.023
junction,-2.861,53.023
junction,-2.865,53.026
junction,-2.860,53.026
junction,-2.954,52.991
junction,-2.948,52.972
source,-2.942,53.039
source,-2.939,52.966
junction,-2.938,53.029
junction,-2.936,52.995
source,-2.933,52.983
junction,-2.932,52.984
source,-2.932,53.039
junction,-2.924,53.039
junction,-2.923,53.039
source,-2.920,52.959
junction,-2.914,53.035
source,-2.904,52.944
junction,-2.905,53.029
source,-2.896,53.016
junction,-2.895,53.011
junction,-2.894,53.016
junction,-3.251,52.926
source,-3.245,52.904
source,-3.243,52.920
source,-3.244,52.969
source,-3.243,52.936
junction,-3.240,52.925
junction,-3.236,52.924
source,-3.235,52.933
junction,-3.235,52.925
source,-3.229,52.919
source,-3.227,52.902
junction,-3.227,52.922
source,-3.214,52.935
source,-3.208,52.906
source,-3.208,52.954
junction,-3.204,52.905
source,-3.202,52.970
junction,-3.198,52.914
source,-3.199,52.949
source,-3.198,52.938
source,-3.154,52.901
source,-3.148,52.903
source,-3.137,52.905
source,-3.163,52.908
