longitude,latitude,region
-1.0779014,52.97903,1.0
-1.5870324,52.264618,4.0
-2.355204,57.96264,0
-4.0419345,59.184242,0
-2.15866,53.020256,4.0
2.0434628,51.291004,0
-4.0870743,51.645477,8.0
-6.3076577,57.201828,0
-6.6871157,53.883568,0
-1.0478084,56.447094,0
-2.082628,56.588223,0
-7.3194656,56.887474,0
-0.7348194,52.109047,6.0
1.9464023,52.80888,0
-3.7701938,59.325703,0
-2.8640149,51.573734,8.0
-6.1153116,50.462254,0
0.011946838,51.5691,2.0
-5.833361,55.15278,0
1.0403155,53.38613,0
-0.22935767,51.5047,2.0
-0.041822247,50.65624,0
-6.103424,50.324966,0
-2.740026,50.11975,0
-2.634368,58.51144,0
-7.5980554,53.43113,0
-5.5592413,54.88584,0
0.003669566,51.61585,2.0
0.626502,50.505417,0
-6.1690974,58.30759,0
-5.285656,51.45243,0
-6.277605,49.76778,0
-0.2950257,51.06317,6.0
-0.48399448,51.784714,9.0
-1.6503326,54.983273,7.0
-6.3019977,50.04233,0
-0.44042623,50.82281,6.0
-6.6266403,53.335106,0
-8.094954,55.198196,0
-1.8264551,50.734,10.0
-1.4477361,54.85244,7.0
-1.929339,55.434204,7.0
-6.19911,56.241978,0
-4.048326,54.508003,0
0.126095,51.493065,2.0
-0.5464229,56.02965,0
-2.7415352,53.995266,3.0
-2.9630094,50.118114,0
0.8510694,50.50013,0
-4.435254,52.71192,0
-6.470143,51.82633,0
0.08762085,51.599037,2.0
-4.091002,55.97498,11.0
-7.6714487,53.978752,0
-0.5299142,53.99432,5.0
-7.2044497,54.137676,0
-6.880907,53.46267,0
-2.5398724,51.451687,10.0
-3.6271398,49.973045,0
-4.1540294,57.21496,11.0
-0.47714898,52.814102,1.0
-2.3546007,53.682068,3.0
-7.346955,55.233387,0
-4.8707237,52.151592,0
-6.788628,52.640106,0
0.15956694,54.918804,0
-2.2984195,51.745415,10.0
-1.5602549,56.862476,0
-6.6566296,53.609356,0
-0.13839109,50.854733,6.0
-3.1789496,55.912743,11.0
-5.4347224,59.154873,0
-6.390407,51.003063,0
-5.902556,50.607292,0
-6.865212,53.325596,0
-2.08354,57.000725,0
-1.7321124,54.367123,5.0
-1.4865998,55.03724,7.0
2.0801275,51.702827,0
