longitude,latitude,region
-1.2599912,54.665573,7.0
0.98874784,51.893314,9.0
0.66255033,50.91847,6.0
-0.98964185,50.83387,6.0
-0.44614214,51.499294,2.0
-2.073968,53.40202,3.0
-0.48399448,51.784714,9.0
-1.3761021,53.639183,5.0
-0.24741428,51.609726,2.0
-1.0767317,51.669727,6.0
-2.8046823,51.972458,4.0
0.04487922,51.8163,9.0
-0.2783754,51.678886,9.0
-2.2389362,55.05966,7.0
-2.2201416,53.59265,3.0
-1.8750414,53.375393,1.0
-0.31366083,51.871174,9.0
-0.14345689,51.545235,2.0
0.25458285,51.570282,2.0
-0.13207671,51.5882,2.0
-0.2950257,51.06317,6.0
-1.4477361,54.85244,7.0
-0.20055394,50.8455,6.0
-1.7559015,53.651085,5.0
-0.22694348,52.280537,9.0
-2.378913,53.75252,3.0
0.08762085,51.599037,2.0
0.08603052,51.566536,2.0
-4.7421837,55.90448,11.0
-4.1540294,57.21496,11.0
1.1662332,52.051495,9.0
-0.11322619,51.556767,2.0
-0.101902895,51.53525,2.0
-3.1579611,51.656094,8.0
-1.4829189,54.957306,7.0
-1.9264369,53.877903,5.0
-1.4568433,52.26432,4.0
-0.19514582,51.50589,2.0
-0.77026343,52.427216,1.0
-4.3069124,55.58346,11.0
-0.28935987,51.37836,2.0
-0.29096583,53.756863,5.0
-0.34809983,53.781036,5.0
-0.38910246,53.73725,5.0
-2.4756591,51.4518,10.0
-2.8538945,53.449738,3.0
-3.8011231,55.730827,11.0
-2.7415352,53.995266,3.0
-1.535834,53.782833,5.0
-1.4810941,53.812126,5.0
-1.5303285,53.845,5.0
-1.6241889,53.87327,5.0
-1.6168468,53.799576,5.0
-1.0903885,52.642555,1.0
-1.1303587,52.615387,1.0
-1.1587466,52.635445,1.0
-2.5103548,53.48803,3.0
0.04916313,50.86651,6.0
-0.033732265,51.469883,2.0
-0.0035827095,51.443455,2.0
-0.046625186,51.422874,2.0
0.011946838,51.5691,2.0
-1.8358114,52.762672,4.0
-0.56548864,53.225994,1.0
-3.670778,55.944,11.0
-2.9672656,53.395954,3.0
-2.940306,53.4494,3.0
-2.9193046,53.3994,3.0
-2.9100711,53.43047,3.0
-3.5294979,55.861153,11.0
-4.195688,51.7208,8.0
-1.1706203,52.77008,1.0
0.00824962,53.292175,1.0
-2.7209928,52.480625,4.0
-0.4610153,51.901752,9.0
-0.41423795,51.873707,9.0
-2.1204298,53.263718,3.0
-0.7921931,51.49692,6.0
0.50976837,51.169865,6.0
-2.6288145,53.51748,3.0
0.69708407,51.68077,9.0
-2.1996682,53.486435,3.0
-2.2043755,53.453037,3.0
-2.2430222,53.427666,3.0
-1.1674314,53.1739,1.0
-1.1317331,50.959373,6.0
-1.720378,52.410706,4.0
-3.3316824,51.737278,8.0
-1.2386909,54.555923,7.0
-1.0155506,54.537136,7.0
-3.1127577,55.832108,11.0
-0.48706472,52.02663,9.0
-1.4236363,52.957436,1.0
-2.085726,50.74881,10.0
0.9309395,52.650696,9.0
-0.10912923,51.034565,6.0
-2.0545084,52.182457,4.0
-0.7348194,52.109047,6.0
-0.75058335,52.009975,6.0
-0.17422308,51.402714,2.0
-0.3735262,51.225273,6.0
-2.870183,51.766502,8.0
-3.4240162,52.62483,8.0
-2.75952,54.110012,3.0
-1.5455859,53.727253,5.0
-3.9534547,55.78747,11.0
