longitude,latitude,region
-5.6096087,49.902565,0
-1.4207488,51.53819,6.0
-0.53647566,55.61045,0
0.6611096,51.343086,2.0
-7.070397,53.390194,0
-7.0188775,56.09876,0
0.58736545,54.477623,0
-5.617121,51.524387,0
-3.6793878,51.716927,8.0
-2.4124699,57.859962,0
-3.2012494,50.055145,0
-4.716806,54.938477,0
-7.810744,55.423992,0
-6.0133915,58.12174,0
-2.5132978,53.37644,3.0
-4.7291985,51.86489,8.0
-5.059961,51.18356,0
0.2459372,50.875206,6.0
-1.9601337,54.738476,7.0
-0.3100998,51.380066,2.0
-1.6272798,51.497093,6.0
-4.859025,53.23558,0
-0.60927826,56.451763,0
0.032474086,54.081608,0
-1.7603359,58.225334,0
-2.0079846,53.421078,3.0
-3.5653276,50.85995,10.0
-2.5380929,57.319168,0
-6.9278927,53.831535,0
-2.1143231,52.27443,4.0
-6.661034,51.54215,0
-0.5317398,50.69631,6.0
-2.8390338,50.388767,0
1.3349507,51.899036,0
-4.5018997,53.827534,0
-6.3361835,57.72988,0
-6.264856,55.40473,0
-6.4996514,51.679203,0
-6.0548863,54.74335,12.0
0.1522762,55.45568,0
-5.5235586,54.63691,0
-4.9805083,51.347816,0
-3.2502615,51.145935,0
-0.20304804,52.278965,9.0
-1.634206,55.347538,0
-6.29008,56.584766,0
0.27688962,51.38624,2.0
-6.0745053,55.0307,0
-5.501014,58.74594,0
-4.1147265,54.23313,0
-2.8769202,56.530724,0
0.78544015,51.611893,2.0
-6.9345565,55.069542,0
0.64722973,53.33215,0
-5.569566,57.1338,0
-6.395833,53.513245,0
-4.2532396,57.816563,0
-1.1695379,50.46034,0
1.3514247,53.75463,0
-5.92118,58.411552,0
-2.530698,50.914566,10.0
-6.4663734,51.956196,0
-7.5822806,52.926014,0
-3.406438,51.00107,10.0
1.7271187,51.77034,0
-6.6085668,55.080776,0
0.040749043,51.521183,2.0
-6.308352,58.99032,0
-6.7776036,57.7182,0
0.50094885,53.500004,0
0.23806971,51.505604,2.0
-4.7452087,54.492805,0
-3.7647135,52.89515,8.0
-4.822037,52.31023,0
-4.638473,58.665264,0
0.7112112,50.60167,0
-3.2997456,52.253155,4.0
-0.73853004,54.271423,5.0
-0.38319233,53.8635,5.0
-1.6336133,58.08722,0
-0.89672536,51.418175,2.0
1.2855245,53.47819,0
-7.2369037,55.096233,0
1.2320231,54.309704,0
-0.20297198,53.150936,1.0
-3.8059592,56.025993,11.0
-3.3682327,54.798813,0
-0.8673656,50.255775,0
-4.9224916,51.515995,0
-4.1769023,56.370472,11.0
-7.6130977,56.588852,0
-6.3965054,56.40194,0
0.76884073,54.197277,0
-1.9021131,57.540005,0
-2.2316287,56.740818,0
0.7597032,53.480278,0
