code,label,lng,lat,easting,northing,population,households,populationDensity
E07000110,Maidstone,0.5806,51.2348,580248,151563,175778,71208,446.9
E07000111,Sevenoaks,0.1717,51.2760,551567,155211,120516,49013,326.4
E07000112,Folkestone and Hythe,0.9957,51.0544,610024,132599,109754,48338,307.5
E07000113,Swale,0.8125,51.3417,595988,164044,151678,60495,406.2
E07000114,Thanet,1.3404,51.3543,632674,166985,140585,62200,1356.9
E07000115,Tonbridge and Malling,0.3571,51.2730,564511,155282,132196,53573,550.6
E07000116,Tunbridge Wells,0.4309,51.1141,570254,137789,115311,48223,348
E07000117,Burnley,-2.2214,53.7789,385506,431414,94649,39872,855
E07000118,Chorley,-2.6482,53.6612,357265,418497,117731,50132,580.6
E07000119,Fylde,-2.9223,53.7842,339324,432384,81380,37606,491.2
E07000120,Hyndburn,-2.3896,53.7589,374414,429238,82236,34790,1126.6
E07000121,Lancaster,-2.7146,54.0691,353328,463919,142932,59978,252.1
E07000122,Pendle,-2.1856,53.8655,387886,441045,95753,38066,565.4
E07000123,Preston,-2.6973,53.8115,354185,435253,147835,59607,1039
E07000124,Ribble Valley,-2.4451,53.9072,370849,445761,61558,26747,105.6
E07000125,Rossendale,-2.2669,53.6940,382473,421988,70876,30561,513.4
E07000126,South Ribble,-2.7107,53.7281,353203,425975,111042,48586,981.4
E07000127,West Lancashire,-2.8825,53.6096,341717,412911,117427,48533,338.8
E07000128,Wyre,-2.8537,53.9029,344008,445536,111949,50767,396.7
E07000129,Blaby,-1.2216,52.5717,452852,297375,102933,42575,788.9
E07000130,Charnwood,-1.1463,52.7370,457739,315833,183978,73785,659.2
E07000131,Harborough,-1.0077,52.5395,467383,293977,97631,40413,165
E07000132,Hinckley and Bosworth,-1.3906,52.6166,441354,302271,113640,49446,382.2
E07000133,Melton,-0.8560,52.7967,477226,322729,51751,22599,107.5
E07000134,North West Leicestershire,-1.4051,52.7532,440239,317453,104706,44973,374.8
E07000135,Oadby and Wigston,-1.0933,52.5870,461524,299185,57753,22617,2454.9
E07000136,Boston,-0.0218,52.9743,532926,343714,70503,29404,193.7
E07000137,East Lindsey,0.0299,53.2500,535540,374440,142292,64754,80.5
E07000138,Lincoln,-0.5549,53.2247,496573,370718,103813,42507,2908.9
E07000139,North Kesteven,-0.4459,53.0812,504210,354897,118075,50989,128
E07000140,South Holland,-0.0320,52.7979,532780,324067,95119,40703,126.8
E07000141,South Kesteven,-0.5184,52.8547,499893,329594,143400,62850,152.1
E07000142,West Lindsey,-0.4774,53.3929,501339,389522,95152,42345,82.3
E07000143,Breckland,0.8369,52.5881,592273,302678,141478,60359,108.4
E07000144,Broadland,1.3096,52.7014,623735,316663,131722,57760,238.6
E07000145,Great Yarmouth,1.6614,52.6408,647815,311075,99743,44544,572.2
E07000146,King's Lynn and West Norfolk,0.4706,52.7272,566910,317216,154318,67464,107.2
E07000147,North Norfolk,1.1695,52.8504,613546,332832,102988,48374,106.6
E07000148,Norwich,1.2794,52.6323,622020,308886,143926,64459,3688.2
E07000149,South Norfolk,1.2759,52.5145,622377,295780,141948,61381,156.4
E07000163,Craven,-2.1743,54.0799,388715,464893,56923,26069,48.4
E07000164,Hambleton,-1.3193,54.2873,444420,488149,90691,40802,69.2
E07000165,Harrogate,-1.5957,54.0671,426573,463534,162666,71169,124.4
E07000166,Richmondshire,-1.9340,54.3615,404370,496225,49764,20944,37.7
E07000167,Ryedale,-0.8517,54.2104,475009,480011,54709,24714,36.3
