code,label,cx,cy,pop,households,popDen,deprivation,deprivation4
E07000112,Folkestone and Hythe,610024,132599,36328574,48338,307.5,26865,159
E07000113,Swale,595988,164044,50205418,60495,406.2,33683,168
E07000114,Thanet,632674,166985,46533635,62200,1356.9,36604,256
E07000115,Tonbridge and Malling,564511,155282,43756876,53573,550.6,24692,63
E07000116,Tunbridge Wells,570254,137789,38167941,48223,348,21579,104
E07000117,Burnley,385506,431414,31328819,39872,855,23567,142
E07000118,Chorley,357265,418497,38968961,50132,580.6,23792,46
E07000119,Fylde,339324,432384,26936780,37606,491.2,18496,64
E07000120,Hyndburn,374414,429238,27220116,34790,1126.6,20024,100
E07000121,Lancaster,353328,463919,47310492,59978,252.1,30953,124
E07000122,Pendle,387886,441045,31694243,38066,565.4,21886,104
E07000123,Preston,354185,435253,48933385,59607,1039,31822,159
E07000124,Ribble Valley,370849,445761,20375698,26747,105.6,11074,27
E07000125,Rossendale,382473,421988,23459956,30561,513.4,15895,58
E07000126,South Ribble,353203,425975,36754902,48586,981.4,23127,55
E07000127,West Lancashire,341717,412911,38868337,48533,338.8,24894,67
E07000128,Wyre,344008,445536,37055119,50767,396.7,27401,88
E07000129,Blaby,452852,297375,34070823,42575,788.9,19743,26
E07000130,Charnwood,457739,315833,60896718,73785,659.2,34714,77
E07000131,Harborough,467383,293977,32315861,40413,165,17023,28
E07000132,Hinckley and Bosworth,441354,302271,37614840,49446,382.2,24024,53
E07000133,Melton,477226,322729,17129581,22599,107.5,10608,25
E07000134,North West Leicestershire,440239,317453,34657686,44973,374.8,21795,52
E07000135,Oadby and Wigston,461524,299185,19116243,22617,2454.9,11506,37
E07000136,Boston,532926,343714,23336493,29404,193.7,17390,83
E07000137,East Lindsey,535540,374440,47098652,64754,80.5,38997,175
E07000138,Lincoln,496573,370718,34362103,42507,2908.9,23313,122
E07000139,North Kesteven,504210,354897,39082825,50989,128,24338,36
E07000140,South Holland,532780,324067,31484389,40703,126.8,22776,55
E07000141,South Kesteven,499893,329594,47465400,62850,152.1,30360,60
E07000142,West Lindsey,501339,389522,31495312,42345,82.3,21492,54
E07000143,Breckland,592273,302678,46829218,60359,108.4,32904,83
E07000144,Broadland,623735,316663,43599982,57760,238.6,28309,42
E07000145,Great Yarmouth,647815,311075,33014933,44544,572.2,27549,176
E07000146,King's Lynn and West Norfolk,566910,317216,51079258,67464,107.2,37802,136
E07000147,North Norfolk,613546,332832,34089028,48374,106.6,26894,82
E07000148,Norwich,622020,308886,47639506,64459,3688.2,35477,202
E07000149,South Norfolk,622377,295780,46984788,61381,156.4,29664,61
E07000163,Craven,388715,464893,18841513,26069,48.4,11672,19
E07000164,Hambleton,444420,488149,30018721,40802,69.2,18471,25
E07000165,Harrogate,426573,463534,53842446,71169,124.4,30412,64
E07000166,Richmondshire,404370,496225,16471884,20944,37.7,9611,13
E07000167,Ryedale,475009,480011,18108679,24714,36.3,11912,23
E07000168,Scarborough,488815,497619,35991616,51123,133.2,27877,149
E07000169,Selby,457071,432688,30448690,39560,153.5,18132,36
E07000170,Ashfield,449768,355201,41806955,54508,1152.8,30990,123
