Longitude	Latitude	RemainVotes	LeaveVotes	DataSource
-3.040	53.875	21721	44018	rand5pc
0.530	52.663	28487	57408	rand5pc
-0.901	54.567	25147	50125	rand5pc
0.675	51.611	17635	35131	rand5pc
-2.381	53.784	14102	27800	rand5pc
-1.917	52.616	45595	89474	rand5pc
-0.700	52.493	10959	21432	rand5pc
-3.045	55.931	37426	19182	rand5pc
-2.233	53.802	14682	28521	rand5pc
0.410	52.245	9519	18462	rand5pc
0.371	51.436	18911	36642	rand5pc
-1.914	52.979	20821	40107	rand5pc
-0.628	53.566	30271	57751	rand5pc
-2.179	52.622	23570	44920	rand5pc
-4.285	55.920	165607	87121	rand5pc
-1.304	53.723	58939	111226	rand5pc
-1.240	54.552	22228	41757	rand5pc
-1.472	52.526	24709	46091	rand5pc
-2.981	58.987	7308	3993	rand5pc
-2.591	53.512	57057	103935	rand5pc
0.160	51.453	46282	84110	rand5pc
-4.619	55.866	24351	13408	rand5pc
-2.247	52.368	20620	37442	rand5pc
0.523	51.375	47857	86683	rand5pc
-1.146	50.789	16017	28460	rand5pc
0.079	51.726	28427	50315	rand5pc
-4.234	55.823	103576	58621	rand5pc
-4.404	55.828	54873	31349	rand5pc
-3.130	51.730	12708	22239	rand5pc
-2.504	52.717	31496	55086	rand5pc
-2.288	53.054	25749	44832	rand5pc
-1.448	54.918	49639	86211	rand5pc
-3.014	53.879	22185	38396	rand5pc
-1.919	52.318	16493	28538	rand5pc
-0.137	51.627	103574	60141	rand5pc
-0.393	54.285	22450	38570	rand5pc
0.970	52.539	27334	46726	rand5pc
-0.197	51.417	63722	37396	rand5pc
-1.479	53.164	21451	36519	rand5pc
-3.466	54.554	13824	23532	rand5pc
0.283	51.426	20847	35449	rand5pc
0.121	51.552	27121	46076	rand5pc
1.426	51.375	26875	45344	rand5pc
1.567	52.459	25398	42847	rand5pc
-0.283	51.388	53910	31963	rand5pc
-1.207	50.710	29265	49305	rand5pc
-4.127	55.887	98168	58384	rand5pc
-3.516	50.393	27229	45743	rand5pc
-2.813	51.286	25622	42690	rand5pc
-1.370	54.567	38749	64521	rand5pc
-0.703	50.788	32603	54206	rand5pc
-3.114	55.886	29170	17576	rand5pc
-0.998	50.868	26837	44420	rand5pc
-0.426	53.081	25162	41637	rand5pc
0.894	51.312	29202	48011	rand5pc
-3.130	56.467	50192	30667	rand5pc
-1.904	52.948	23617	38620	rand5pc
0.762	51.657	14886	24290	rand5pc
-0.384	52.641	32845	53487	rand5pc
-2.077	52.558	44211	71909	rand5pc
1.205	51.224	24831	40150	rand5pc
-2.227	53.850	16950	27378	rand5pc
-2.290	53.707	15028	24219	rand5pc
-0.713	52.299	16219	26132	rand5pc
-0.720	52.411	20298	32629	rand5pc
-3.458	51.195	8361	13426	rand5pc
-2.955	54.908	23435	37563	rand5pc
-2.573	51.469	145553	91005	rand5pc
-0.323	53.209	20578	32860	rand5pc
-3.230	54.103	13571	21502	rand5pc
-3.156	51.487	102704	64841	rand5pc
-2.106	53.530	40997	64898	rand5pc
-1.322	52.984	25054	39573	rand5pc
-4.166	50.422	53484	83466	rand5pc
1.000	51.029	23990	37144	rand5pc
-1.380	53.097	28884	44682	rand5pc
-1.442	52.555	26390	40811	rand5pc
-0.439	51.430	22417	34551	rand5pc
-0.787	53.064	25464	39241	rand5pc
-0.220	51.103	21414	32915	rand5pc
-4.193	51.053	16930	26020	rand5pc
-1.534	52.683	22642	34795	rand5pc
0.298	51.629	18480	28385	rand5pc
-1.443	54.970	30562	46696	rand5pc
-0.479	53.932	81786	124175	rand5pc
0.567	51.855	33436	50758	rand5pc
-0.483	52.658	33934	51394	rand5pc
-2.445	50.643	15434	23190	rand5pc
-3.604	56.090	111528	74311	rand5pc
-2.659	53.726	26122	39176	rand5pc
-2.218	57.166	62270	41633	rand5pc
-4.544	55.937	25667	17188	rand5pc
-2.975	56.458	39662	26627	rand5pc
-2.359	51.388	63854	42875	rand5pc
0.313	52.134	55333	37192	rand5pc
-3.408	55.900	52915	35610	rand5pc
-0.274	51.513	88218	59407	rand5pc
-2.433	53.610	55766	82770	rand5pc
-1.385	52.865	22660	33529	rand5pc
-2.210	53.460	116286	78606	rand5pc
-2.067	53.499	44823	66190	rand5pc
-2.527	55.689	38416	26039	rand5pc
-2.144	53.597	40392	59567	rand5pc
-3.069	51.727	19017	27988	rand5pc
-0.290	51.545	69581	47302	rand5pc
-1.402	53.280	23462	34481	rand5pc
-1.158	53.874	20415	29906	rand5pc
-1.904	52.676	25821	37814	rand5pc
-4.335	55.555	33553	22927	rand5pc
-4.770	56.518	28174	19276	rand5pc
0.882	51.136	27671	40124	rand5pc
-0.960	52.763	12681	18354	rand5pc
-1.114	52.926	41399	28636	rand5pc
-1.909	52.095	31066	44818	rand5pc
-1.166	52.275	20941	30127	rand5pc
-1.202	50.953	41012	28554	rand5pc
-2.720	53.491	38084	54659	rand5pc
-3.761	56.117	14935	10429	rand5pc
-0.516	51.106	46446	32464	rand5pc
1.161	52.055	27691	39564	rand5pc
-1.909	50.745	35365	50527	rand5pc
-2.700	52.058	45869	65374	rand5pc
0.010	51.556	65540	46154	rand5pc
-1.486	52.919	50438	71376	rand5pc
-0.457	52.451	20971	29556	rand5pc
-1.765	50.754	13378	18847	rand5pc
-1.050	50.806	41612	58367	rand5pc
-4.643	51.756	28879	40441	rand5pc
-2.203	51.846	27334	38271	rand5pc
0.492	51.278	38276	53518	rand5pc
-4.091	51.071	23879	33371	rand5pc
-1.131	53.961	64578	46472	rand5pc
-0.523	53.230	18420	25573	rand5pc
-1.294	52.370	24942	34614	rand5pc
0.498	50.917	23624	32706	rand5pc
-2.080	54.315	11757	16265	rand5pc
1.026	52.867	26102	35943	rand5pc
-2.222	50.754	12125	16689	rand5pc
-4.712	52.806	35007	25435	rand5pc
0.653	51.555	38505	52994	rand5pc
-0.779	51.292	20988	28860	rand5pc
-3.219	51.699	37323	51320	rand5pc
-1.178	60.140	7046	5143	rand5pc
-0.342	51.357	44372	32502	rand5pc
-1.169	52.567	23860	32569	rand5pc
1.214	52.639	38000	27881	rand5pc
-2.353	53.480	46306	63047	rand5pc
-3.813	51.606	31643	43035	rand5pc
-2.981	53.057	29732	40347	rand5pc
-2.616	53.608	26898	36493	rand5pc
-1.587	52.353	47108	34803	rand5pc
-0.871	52.243	44816	60648	rand5pc
-1.832	50.911	24548	33205	rand5pc
-0.410	51.910	35118	47441	rand5pc
-3.038	50.915	42679	57376	rand5pc
-3.348	54.662	22761	30582	rand5pc
-3.528	50.697	37024	27556	rand5pc
-2.977	53.398	116369	87111	rand5pc
-3.668	55.973	45826	34376	rand5pc
-2.578	51.706	22310	29620	rand5pc
-0.906	51.395	54295	40912	rand5pc
-2.366	53.393	70590	53239	rand5pc
-4.609	55.642	39295	29647	rand5pc
-4.572	55.550	34717	26294	rand5pc
-1.268	51.675	45458	34462	rand5pc
-3.106	53.169	38507	50673	rand5pc
-2.485	53.863	15352	20196	rand5pc
-2.979	53.741	20209	26577	rand5pc
-0.404	51.524	57430	75363	rand5pc
-6.346	49.897	813	620	rand5pc
-2.312	50.826	18368	24053	rand5pc
-0.985	51.457	43124	32950	rand5pc
-2.729	53.368	28559	37306	rand5pc
-1.526	50.894	48481	63109	rand5pc
-2.466	53.747	29030	37729	rand5pc
-0.724	51.245	43015	33120	rand5pc
-3.297	51.667	12846	16655	rand5pc
-1.793	53.851	100680	130068	rand5pc
-4.309	50.503	135655	174800	rand5pc
-2.159	52.955	33700	43284	rand5pc
-2.064	51.902	37957	29591	rand5pc
-1.830	50.723	40279	51582	rand5pc
-0.695	51.402	28655	36696	rand5pc
-0.114	51.611	75305	58813	rand5pc
-0.322	51.601	66847	52276	rand5pc
-1.761	52.428	53803	68776	rand5pc
-0.487	52.027	68992	88077	rand5pc
0.290	50.767	23485	29964	rand5pc
-1.174	53.025	29716	37901	rand5pc
-3.603	51.558	32453	41389	rand5pc
-0.854	54.152	13925	17740	rand5pc
-1.514	54.853	118497	150380	rand5pc
-0.628	51.305	30305	23948	rand5pc
-2.281	52.633	80840	102254	rand5pc
-1.783	53.710	46084	58213	rand5pc
-1.766	53.640	99615	124507	rand5pc
0.703	52.245	27792	34721	rand5pc
-0.083	51.386	96985	77687	rand5pc
-1.079	52.589	14429	18012	rand5pc
-1.511	55.012	50831	63247	rand5pc
-2.216	52.204	24270	30150	rand5pc
-1.530	52.435	71257	88354	rand5pc
0.118	51.488	65763	53054	rand5pc
0.473	51.295	32843	40650	rand5pc
-7.502	56.981	7938	6420	rand5pc
-3.945	57.102	67953	54964	rand5pc
-1.544	54.521	23992	29602	rand5pc
-2.284	57.202	74793	60705	rand5pc
0.084	51.585	70942	57825	rand5pc
-2.775	53.562	29222	35800	rand5pc
-2.571	56.785	33282	27248	rand5pc
-0.130	51.363	48122	58764	rand5pc
-1.219	52.919	29656	36132	rand5pc
-3.578	53.293	29799	36178	rand5pc
-0.257	52.369	45916	55741	rand5pc
0.999	52.263	27977	33831	rand5pc
-0.481	51.368	19932	24063	rand5pc
-3.506	53.270	23417	28120	rand5pc
1.067	51.965	26014	31212	rand5pc
-1.145	52.087	26167	31371	rand5pc
0.555	50.884	20840	24969	rand5pc
-2.096	53.430	89337	74603	rand5pc
-2.274	53.554	44914	53703	rand5pc
-0.597	51.670	32996	27598	rand5pc
-1.953	52.371	26060	31146	rand5pc
-3.005	51.593	32816	39198	rand5pc
-0.157	52.039	40832	34245	rand5pc
-4.256	52.236	21030	17662	rand5pc
-3.616	50.507	37565	44697	rand5pc
0.558	51.680	45840	54527	rand5pc
-2.960	50.765	42288	50132	rand5pc
0.910	51.860	42749	50600	rand5pc
-2.224	51.711	40403	34160	rand5pc
0.307	51.365	31753	37400	rand5pc
-0.276	50.844	16504	19415	rand5pc
-2.737	53.766	30764	36146	rand5pc
-2.103	51.999	24649	28957	rand5pc
0.154	50.810	46191	54054	rand5pc
-0.600	51.524	25592	29919	rand5pc
-4.182	50.456	16715	19519	rand5pc
-3.061	55.005	43708	37459	rand5pc
-0.948	51.685	45188	38848	rand5pc
-1.410	50.910	48001	55720	rand5pc
-1.308	50.968	35708	41445	rand5pc
-3.126	51.011	30891	35827	rand5pc
-3.433	51.702	54245	62885	rand5pc
-1.582	54.294	25782	29855	rand5pc
-2.571	53.356	54347	62893	rand5pc
1.555	52.641	36336	42041	rand5pc
-0.679	51.427	42630	36867	rand5pc
-1.177	50.860	32698	37794	rand5pc
-2.395	54.769	15086	17358	rand5pc
-3.720	51.801	38133	43834	rand5pc
-0.300	51.321	29693	25838	rand5pc
-0.379	50.832	28845	33089	rand5pc
-3.648	50.789	22548	25864	rand5pc
-0.108	51.242	23621	26954	rand5pc
-0.781	51.330	31686	28055	rand5pc
-3.053	53.600	78982	70183	rand5pc
0.607	51.080	34102	30397	rand5pc
-1.188	52.678	43784	49107	rand5pc
-1.799	51.605	53304	59687	rand5pc
1.596	52.157	36820	41075	rand5pc
-1.607	51.737	34174	30651	rand5pc
-3.729	50.325	28992	26035	rand5pc
-0.749	51.616	49075	44166	rand5pc
-2.728	51.415	60718	67295	rand5pc
-0.315	51.691	26422	29224	rand5pc
-4.261	51.895	47747	52655	rand5pc
-1.536	54.009	48608	44212	rand5pc
0.043	51.399	96185	87609	rand5pc
-2.832	54.203	35233	32234	rand5pc
-2.000	53.932	16910	18460	rand5pc
-2.311	53.102	108072	117602	rand5pc
1.106	52.577	37968	41292	rand5pc
-0.985	51.278	47610	51754	rand5pc
-0.258	51.366	22842	21037	rand5pc
-1.485	53.340	127143	137753	rand5pc
-1.618	51.484	134361	145515	rand5pc
0.052	51.514	55289	51384	rand5pc
-0.418	51.703	25424	27309	rand5pc
-2.746	50.810	31344	33621	rand5pc
-0.645	51.616	19336	20729	rand5pc
-1.134	51.362	49610	46412	rand5pc
-0.728	51.804	52920	56551	rand5pc
-2.614	51.522	76660	81537	rand5pc
-0.984	51.152	37599	35402	rand5pc
-2.860	53.433	35768	37964	rand5pc
-0.082	51.047	44404	41919	rand5pc
-0.424	51.456	61202	57877	rand5pc
-1.504	50.988	37697	39842	rand5pc
-3.271	51.393	35359	37332	rand5pc
-0.455	52.165	41472	43781	rand5pc
-1.166	52.962	60451	63750	rand5pc
-0.796	52.602	11791	11197	rand5pc
0.020	50.924	30845	29337	rand5pc
-0.210	51.319	40917	42908	rand5pc
-1.727	53.016	21928	22942	rand5pc
