Date,Pollster,Answer,Percent
2021-08-23,Kantar,Stay out,34
2021-08-23,Kantar,no answer / don't know,33
2021-09-16,YouGov,Rejoin,41
2021-09-16,YouGov,Stay out,39
2021-09-16,YouGov,no answer / don't know,20
2021-09-27,Kantar,Rejoin,33
2021-09-27,Kantar,Stay out,33
2021-09-27,Kantar,no answer / don't know,34
2021-10-13,YouGov,Rejoin,41
2021-10-13,YouGov,Stay out,37
2021-10-13,YouGov,no answer / don't know,22
2021-10-15,Opinium,Rejoin,43
2021-10-15,Opinium,Stay out,42
2021-10-15,Opinium,no answer / don't know,15
2021-10-18,Kantar,Rejoin,34
2021-10-18,Kantar,Stay out,35
2021-10-18,Kantar,no answer / don't know,31
2021-11-09,Redfield & Wilton,Rejoin,44
2021-11-09,Redfield & Wilton,Stay out,50
2021-11-09,Redfield & Wilton,no answer / don't know,6
2021-11-17,YouGov,Rejoin,44
2021-11-17,YouGov,Stay out,39
2021-11-17,YouGov,no answer / don't know,17
2021-11-22,Kantar,Rejoin,34
2021-11-22,Kantar,Stay out,32
2021-11-22,Kantar,no answer / don't know,34
2021-12-03,YouGov,Rejoin,45
2021-12-03,YouGov,Stay out,37
2021-12-03,YouGov,no answer / don't know,18
2021-12-13,Kantar,Rejoin,36
2021-12-13,Kantar,Stay out,33
2021-12-13,Kantar,no answer / don't know,31
2021-12-23,Opinium,Rejoin,41
2021-12-23,Opinium,Stay out,42
2021-12-23,Opinium,no answer / don't know,17
2022-01-18,YouGov,Rejoin,42
2022-01-18,YouGov,Stay out,39
2022-01-18,YouGov,no answer / don't know,19
2022-02-11,YouGov,Rejoin,44
2022-02-11,YouGov,Stay out,36
2022-02-11,YouGov,no answer / don't know,20
2022-02-20,Redfield & Wilton,Rejoin,41
2022-02-20,Redfield & Wilton,Stay out,50
2022-02-20,Redfield & Wilton,no answer / don't know,9
2022-03-17,YouGov,Rejoin,43
2022-03-17,YouGov,Stay out,35
2022-03-17,YouGov,no answer / don't know,22
2022-04-11,YouGov,Rejoin,43
2022-04-11,YouGov,Stay out,38
2022-04-11,YouGov,no answer / don't know,19
2022-04-14,Deltapoll,Rejoin,47
2022-04-14,Deltapoll,Stay out,40
2022-04-14,Deltapoll,no answer / don't know,13
2022-04-19,Redfield & Wilton,Rejoin,45
2022-04-19,Redfield & Wilton,Stay out,47
2022-04-19,Redfield & Wilton,no answer / don't know,8
2022-05-12,TechneUK,Rejoin,33
2022-05-12,TechneUK,Stay out,34
2022-05-12,TechneUK,no answer / don't know,33
2022-05-17,YouGov,Rejoin,41
2022-05-17,YouGov,Stay out,38
2022-05-17,YouGov,no answer / don't know,21
2022-06-10,YouGov,Rejoin,45
2022-06-10,YouGov,Stay out,36
2022-06-10,YouGov,no answer / don't know,19
2022-06-20,Redfield & Wilton,Rejoin,48
2022-06-20,Redfield & Wilton,Stay out,43
2022-06-20,Redfield & Wilton,no answer / don't know,9
2022-06-20,Kantar,Rejoin,35
2022-06-20,Kantar,Stay out,34
2022-06-20,Kantar,no answer / don't know,31
2022-07-01,BMG Research,Rejoin,44
2022-07-01,BMG Research,Stay out,40
2022-07-01,BMG Research,no answer / don't know,16
2022-07-11,YouGov,Rejoin,45
2022-07-11,YouGov,Stay out,38
2022-07-11,YouGov,no answer / don't know,17
2022-07-23,Deltapoll,Rejoin,45
2022-07-23,Deltapoll,Stay out,39
2022-07-23,Deltapoll,no answer / don't know,16
2022-07-28,BMG Research,Rejoin,46
2022-07-28,BMG Research,Stay out,41
2022-07-28,BMG Research,no answer / don't know,13
2022-08-05,YouGov,Rejoin,45
2022-08-05,YouGov,Stay out,37
2022-08-05,YouGov,no answer / don't know,18
2022-08-18,BMG Research,Rejoin,44
2022-08-18,BMG Research,Stay out,41
2022-08-18,BMG Research,no answer / don't know,15
2022-08-19,Redfield & Wilton,Rejoin,49
2022-08-19,Redfield & Wilton,Stay out,42
2022-08-19,Redfield & Wilton,no answer / don't know,9
2022-09-02,Deltapoll,Rejoin,45
2022-09-02,Deltapoll,Stay out,39
2022-09-02,Deltapoll,no answer / don't know,16
2022-09-22,YouGov,Rejoin,46
2022-09-22,YouGov,Stay out,36
2022-09-22,YouGov,no answer / don't know,18
2022-09-26,Omnisis,Rejoin,49
2022-09-26,Omnisis,Stay out,31
2022-09-26,Omnisis,no answer / don't know,20
2022-09-29,Deltapoll,Rejoin,46
2022-09-29,Deltapoll,Stay out,39
2022-09-29,Deltapoll,no answer / don't know,15
2022-09-29,BMG Research,Rejoin,44
2022-09-29,BMG Research,Stay out,39
2022-09-29,BMG Research,no answer / don't know,17
2022-09-30,Omnisis,Rejoin,42
2022-09-30,Omnisis,Stay out,36
2022-09-30,Omnisis,no answer / don't know,22
2022-10-07,Omnisis,Rejoin,47
2022-10-07,Omnisis,Stay out,33
2022-10-07,Omnisis,no answer / don't know,20
2022-10-07,Deltapoll,Rejoin,45
2022-10-07,Deltapoll,Stay out,41
2022-10-07,Deltapoll,no answer / don't know,14
2022-10-12,People Polling,Rejoin,41
2022-10-12,People Polling,Stay out,32
2022-10-12,People Polling,no answer / don't know,27
2022-10-14,Omnisis,Rejoin,51
2022-10-14,Omnisis,Stay out,35
2022-10-14,Omnisis,no answer / don't know,14
2022-10-19,Redfield & Wilton,Rejoin,52
2022-10-19,Redfield & Wilton,Stay out,39
2022-10-19,Redfield & Wilton,no answer / don't know,9
2022-10-20,Omnisis,Rejoin,49
2022-10-20,Omnisis,Stay out,37
2022-10-20,Omnisis,no answer / don't know,14
2022-10-21,Deltapoll,Rejoin,49
2022-10-21,Deltapoll,Stay out,36
2022-10-21,Deltapoll,no answer / don't know,15
2022-10-22,Omnisis,Rejoin,50
2022-10-22,Omnisis,Stay out,32
2022-10-22,Omnisis,no answer / don't know,18
2022-10-26,BMG Research,Rejoin,42
2022-10-26,BMG Research,Stay out,39
2022-10-26,BMG Research,no answer / don't know,19
2022-10-28,Omnisis,Rejoin,51
2022-10-28,Omnisis,Stay out,35
2022-10-28,Omnisis,no answer / don't know,14
2022-11-04,Omnisis,Rejoin,48
2022-11-04,Omnisis,Stay out,35
2022-11-04,Omnisis,no answer / don't know,17
2022-11-11,Omnisis,Rejoin,48
2022-11-11,Omnisis,Stay out,37
2022-11-11,Omnisis,no answer / don't know,15
2022-11-15,YouGov,Rejoin,48
2022-11-15,YouGov,Stay out,33
2022-11-15,YouGov,no answer / don't know,19
2022-11-18,Omnisis,Rejoin,53
2022-11-18,Omnisis,Stay out,34
2022-11-18,Omnisis,no answer / don't know,13
2022-11-19,Deltapoll,Rejoin,48
2022-11-19,Deltapoll,Stay out,38
2022-11-19,Deltapoll,no answer / don't know,14
2022-11-24,Omnisis,Rejoin,49
2022-11-24,Omnisis,Stay out,37
2022-11-24,Omnisis,no answer / don't know,14
2022-12-01,BMG Research,Rejoin,45
2022-12-01,BMG Research,Stay out,41
2022-12-01,BMG Research,no answer / don't know,14
2022-12-02,Omnisis,Rejoin,45
2022-12-02,Omnisis,Stay out,33
2022-12-02,Omnisis,no answer / don't know,22
2022-12-08,Redfield & Wilton,Rejoin,52
2022-12-08,Redfield & Wilton,Stay out,41
2022-12-08,Redfield & Wilton,no answer / don't know,7
2022-12-09,Omnisis,Rejoin,44
2022-12-09,Omnisis,Stay out,34
2022-12-09,Omnisis,no answer / don't know,22
2022-12-12,Kantar,Rejoin,37
2022-12-12,Kantar,Stay out,27
2022-12-12,Kantar,no answer / don't know,36
2022-12-15,YouGov,Rejoin,47
2022-12-15,YouGov,Stay out,34
2022-12-15,YouGov,no answer / don't know,19
2022-12-15,YouGov,Rejoin,44
2022-12-15,YouGov,Stay out,34
2022-12-15,YouGov,no answer / don't know,22
2022-12-16,Omnisis,Rejoin,45
2022-12-16,Omnisis,Stay out,32
2022-12-16,Omnisis,no answer / don't know,23
2022-12-18,Savanta,Rejoin,51
2022-12-18,Savanta,Stay out,40
2022-12-18,Savanta,no answer / don't know,9
2022-12-22,Omnisis,Rejoin,45
2022-12-22,Omnisis,Stay out,32
2022-12-22,Omnisis,no answer / don't know,23
2023-01-04,People Polling,Rejoin,42
2023-01-04,People Polling,Stay out,33
2023-01-04,People Polling,no answer / don't know,25
2023-01-06,Omnisis,Rejoin,49
2023-01-06,Omnisis,Stay out,30
2023-01-06,Omnisis,no answer / don't know,21
2023-01-12,Omnisis,Rejoin,44
2023-01-12,Omnisis,Stay out,31
2023-01-12,Omnisis,no answer / don't know,25
