id,cohort,session,attendance
34,PG Data Sci,7,1
34,PG Data Sci,8,1
34,PG Data Sci,9,0
34,PG Data Sci,10,1
35,PG Data Sci,1,1
35,PG Data Sci,2,1
35,PG Data Sci,3,1
35,PG Data Sci,4,1
35,PG Data Sci,5,1
35,PG Data Sci,6,1
35,PG Data Sci,7,1
35,PG Data Sci,8,1
35,PG Data Sci,9,1
35,PG Data Sci,10,1
36,PG Data Sci,1,1
36,PG Data Sci,2,1
36,PG Data Sci,3,1
36,PG Data Sci,4,0
36,PG Data Sci,5,1
36,PG Data Sci,6,1
36,PG Data Sci,7,1
36,PG Data Sci,8,0
36,PG Data Sci,9,1
36,PG Data Sci,10,1
37,PG Data Sci,1,1
37,PG Data Sci,2,1
37,PG Data Sci,3,1
37,PG Data Sci,4,1
37,PG Data Sci,5,0
37,PG Data Sci,6,1
37,PG Data Sci,7,1
37,PG Data Sci,8,1
37,PG Data Sci,9,0
37,PG Data Sci,10,1
38,PG Data Sci,1,1
38,PG Data Sci,2,1
38,PG Data Sci,3,1
38,PG Data Sci,4,0
38,PG Data Sci,5,0
38,PG Data Sci,6,1
38,PG Data Sci,7,0
38,PG Data Sci,8,0
38,PG Data Sci,9,0
38,PG Data Sci,10,0
39,PG Data Sci,1,1
39,PG Data Sci,2,1
39,PG Data Sci,3,0
39,PG Data Sci,4,1
39,PG Data Sci,5,1
39,PG Data Sci,6,1
39,PG Data Sci,7,0
39,PG Data Sci,8,1
39,PG Data Sci,9,1
39,PG Data Sci,10,1
40,PG Data Sci,1,0
40,PG Data Sci,2,1
40,PG Data Sci,3,1
40,PG Data Sci,4,1
40,PG Data Sci,5,0
40,PG Data Sci,6,0
40,PG Data Sci,7,1
40,PG Data Sci,8,0
40,PG Data Sci,9,0
40,PG Data Sci,10,0
41,PG Data Sci,1,1
41,PG Data Sci,2,1
41,PG Data Sci,3,1
41,PG Data Sci,4,1
41,PG Data Sci,5,1
41,PG Data Sci,6,1
41,PG Data Sci,7,1
41,PG Data Sci,8,1
41,PG Data Sci,9,1
41,PG Data Sci,10,1
42,PG Data Sci,1,1
42,PG Data Sci,2,0
42,PG Data Sci,3,1
42,PG Data Sci,4,1
42,PG Data Sci,5,0
42,PG Data Sci,6,0
42,PG Data Sci,7,1
42,PG Data Sci,8,0
42,PG Data Sci,9,0
42,PG Data Sci,10,0
43,PG Data Sci,1,1
43,PG Data Sci,2,1
43,PG Data Sci,3,1
43,PG Data Sci,4,1
43,PG Data Sci,5,1
43,PG Data Sci,6,1
43,PG Data Sci,7,1
43,PG Data Sci,8,1
43,PG Data Sci,9,1
43,PG Data Sci,10,1
44,PG Data Sci,1,1
44,PG Data Sci,2,0
44,PG Data Sci,3,1
44,PG Data Sci,4,0
44,PG Data Sci,5,0
44,PG Data Sci,6,0
44,PG Data Sci,7,0
44,PG Data Sci,8,0
44,PG Data Sci,9,0
44,PG Data Sci,10,0
45,PG Data Sci,1,0
45,PG Data Sci,2,0
45,PG Data Sci,3,1
45,PG Data Sci,4,1
45,PG Data Sci,5,0
45,PG Data Sci,6,0
45,PG Data Sci,7,1
45,PG Data Sci,8,0
45,PG Data Sci,9,0
45,PG Data Sci,10,0
46,PG Data Sci,1,1
46,PG Data Sci,2,1
46,PG Data Sci,3,1
46,PG Data Sci,4,1
46,PG Data Sci,5,1
46,PG Data Sci,6,1
46,PG Data Sci,7,1
46,PG Data Sci,8,0
46,PG Data Sci,9,1
46,PG Data Sci,10,1
47,PG Data Sci,1,1
47,PG Data Sci,2,1
47,PG Data Sci,3,1
47,PG Data Sci,4,1
47,PG Data Sci,5,1
47,PG Data Sci,6,0
47,PG Data Sci,7,1
47,PG Data Sci,8,0
47,PG Data Sci,9,0
47,PG Data Sci,10,1
48,PG Data Sci,1,1
48,PG Data Sci,2,0
48,PG Data Sci,3,1
48,PG Data Sci,4,1
48,PG Data Sci,5,0
48,PG Data Sci,6,1
48,PG Data Sci,7,1
48,PG Data Sci,8,0
48,PG Data Sci,9,0
48,PG Data Sci,10,1
49,PG Data Sci,1,1
49,PG Data Sci,2,1
49,PG Data Sci,3,1
49,PG Data Sci,4,1
49,PG Data Sci,5,1
49,PG Data Sci,6,1
49,PG Data Sci,7,0
