decade,cName,hex,hue,sat,lum,hueX,hueY,perc
1990s,Dark Bluish Gray,#646464,0,0.00,0.39,0.00,1.00,0.0004
1990s,Light Bluish Gray,#969696,0,0.00,0.59,0.00,1.00,0.0004
1990s,Light Turquoise,#07adc0,186,0.93,0.39,-0.10,-0.99,0.0004
1990s,Reddish Brown,#5f3109,28,0.83,0.20,0.47,0.88,0.0004
1990s,Dark Orange,#91501c,27,0.68,0.34,0.45,0.89,0.0004
2000s,Black,#1b2a34,204,0.32,0.15,-0.41,-0.91,22.27
2000s,White,#f4f4f4,0,0.00,0.96,0.00,1.00,11.09
2000s,Light Bluish Gray,#969696,0,0.00,0.59,0.00,1.00,10.54
2000s,Red,#b40000,0,1.00,0.35,0.00,1.00,8.45
2000s,Dark Bluish Gray,#646464,0,0.00,0.39,0.00,1.00,8.23
2000s,Blue,#1e5aa8,214,0.70,0.39,-0.56,-0.83,5.77
2000s,Yellow,#fac80a,48,0.96,0.51,0.74,0.67,5.72
2000s,Light Gray,#8a928d,143,0.04,0.56,0.60,-0.80,5.08
2000s,Tan,#b0a06f,45,0.29,0.56,0.71,0.71,2.88
2000s,Green,#00852b,139,1.00,0.26,0.66,-0.75,2.67
2000s,Dark Gray,#545955,132,0.03,0.34,0.74,-0.67,2.4538
2000s,Reddish Brown,#5f3109,28,0.83,0.20,0.47,0.88,1.7781
2000s,Orange,#ff8500,31,1.00,0.50,0.52,0.86,1.163
2000s,Dark Red,#720012,351,1.00,0.22,-0.16,0.99,0.9447
2000s,Brown,#6e3903,30,0.95,0.22,0.50,0.87,0.8158
2000s,Dark Blue,#19325a,217,0.57,0.23,-0.60,-0.80,0.7992
2000s,Trans-Clear,#eeeeee,0,0.00,0.93,0.00,1.00,0.7395
2000s,Sand Green,#708e7c,144,0.12,0.50,0.59,-0.81,0.7346
2000s,Lime,#a5ca18,72,0.79,0.44,0.95,0.31,0.6425
2000s,Trans-Red,#B82700,13,1.00,0.36,0.22,0.97,0.5999
2000s,Pearl Light Gray,#adadad,0,0.00,0.68,0.00,1.00,0.5104
