DateTime,NOX
2018/01/07 05:30,30.9
2018/01/07 05:45,44.2
2018/01/07 06:00,41.2
2018/01/07 06:15,47.5
2018/01/07 06:30,70.5
2018/01/07 06:45,203.4
2018/01/07 07:00,71
2018/01/07 07:15,75.9
2018/01/07 07:30,54.7
2018/01/07 07:45,62.2
2018/01/07 08:00,50.4
2018/01/07 08:15,46.4
2018/01/07 08:30,63.2
2018/01/07 08:45,58.1
2018/01/07 09:00,67.8
2018/01/07 09:15,71.6
2018/01/07 09:30,72.4
2018/01/07 09:45,71.6
2018/01/07 10:00,81
2018/01/07 10:15,72.6
2018/01/07 10:30,66.1
2018/01/07 10:45,74.7
2018/01/07 11:00,67.8
2018/01/07 11:15,71.4
2018/01/07 11:30,91.8
2018/01/07 11:45,95.5
2018/01/07 12:00,88.9
2018/01/07 12:15,66.8
2018/01/07 12:30,79.6
2018/01/07 12:45,56.8
2018/01/07 13:00,60.8
2018/01/07 13:15,51.1
2018/01/07 13:30,62.9
2018/01/07 13:45,52
2018/01/07 14:00,49.7
2018/01/07 14:15,72.2
2018/01/07 14:30,68
2018/01/07 14:45,94.6
2018/01/07 15:00,71.9
2018/01/07 15:15,77.3
2018/01/07 15:30,80
2018/01/07 15:45,92.1
2018/01/07 16:00,78.8
2018/01/07 16:15,71.6
2018/01/07 16:30,98.6
2018/01/07 16:45,79.6
2018/01/07 17:00,75.5
2018/01/07 17:15,91.4
2018/01/07 17:30,107.5
2018/01/07 17:45,94.6
2018/01/07 18:00,78.2
2018/01/07 18:15,82.7
2018/01/07 18:30,65.1
2018/01/07 18:45,85.1
2018/01/07 19:00,67.2
2018/01/07 19:15,71.7
2018/01/07 19:30,79.1
2018/01/07 19:45,89
2018/01/07 20:00,80.6
2018/01/07 20:15,80.5
2018/01/07 20:30,70.4
2018/01/07 20:45,63.2
2018/01/07 21:00,65.8
2018/01/07 21:15,79.5
2018/01/07 21:30,66
2018/01/07 21:45,64.6
2018/01/07 22:00,65.5
2018/01/07 22:15,74.1
2018/01/07 22:30,62.6
2018/01/07 22:45,61.4
2018/01/07 23:00,63.4
2018/01/07 23:15,61.1
2018/01/07 23:30,60
2018/01/07 23:45,52
2018/01/08 00:00,45.5
2018/01/08 00:15,50.9
2018/01/08 00:30,48.6
2018/01/08 00:45,51.3
2018/01/08 01:00,39.9
2018/01/08 01:15,35.9
2018/01/08 01:30,37.1
2018/01/08 01:45,31.5
2018/01/08 02:00,24.6
2018/01/08 02:15,23.6
2018/01/08 02:30,26.9
2018/01/08 02:45,23.1
2018/01/08 03:00,23.3
2018/01/08 03:15,21.4
2018/01/08 03:30,24.5
2018/01/08 03:45,26.1
2018/01/08 04:00,35.1
2018/01/08 04:15,24
2018/01/08 04:30,24.9
2018/01/08 04:45,27.1
2018/01/08 05:00,29.8
2018/01/08 05:15,35.2
2018/01/08 05:30,37.9
2018/01/08 05:45,33.9
2018/01/08 06:00,44.4
2018/01/08 06:15,53
2018/01/08 06:30,68.7
2018/01/08 06:45,72.1
2018/01/08 07:00,87.9
2018/01/08 07:15,81.2
2018/01/08 07:30,104.1
2018/01/08 07:45,89.3
2018/01/08 08:00,119.8
2018/01/08 08:15,77.7
2018/01/08 08:30,88.1
2018/01/08 08:45,100.4
2018/01/08 09:00,93.1
2018/01/08 09:15,69.1
2018/01/08 09:30,76.9
2018/01/08 09:45,69.5
2018/01/08 10:00,85.5
2018/01/08 10:15,78.2
2018/01/08 10:30,74.2
2018/01/08 10:45,91.7
2018/01/08 11:00,90
2018/01/08 11:15,92.5
2018/01/08 11:30,82.5
2018/01/08 11:45,74.6
2018/01/08 12:00,64.3
2018/01/08 12:15,76.7
2018/01/08 12:30,103.6
2018/01/08 12:45,74.5
2018/01/08 13:00,57.2
2018/01/08 13:15,74.6
2018/01/08 13:30,73.3
2018/01/08 13:45,89
2018/01/08 14:00,81.3
2018/01/08 14:15,81
2018/01/08 14:30,65
2018/01/08 14:45,65.1
2018/01/08 15:00,65.9
2018/01/08 15:15,66.9
2018/01/08 15:30,74.7
2018/01/08 15:45,74.1
2018/01/08 16:00,80.4
2018/01/08 16:15,72.2
2018/01/08 16:30,65
2018/01/08 16:45,63
2018/01/08 17:00,63.5
2018/01/08 17:15,68.5
2018/01/08 17:30,64.1
2018/01/08 17:45,93.1
2018/01/08 18:00,105.5
2018/01/08 18:15,91.9
2018/01/08 18:30,83.2
2018/01/08 18:45,100
2018/01/08 19:00,95
2018/01/08 19:15,61
2018/01/08 19:30,47.5
2018/01/08 19:45,55.3
2018/01/08 20:00,57.4
2018/01/08 20:15,56.9
2018/01/08 20:30,65.7
2018/01/08 20:45,64.3
2018/01/08 21:00,67.9
2018/01/08 21:15,62.2
2018/01/08 21:30,49.1
2018/01/08 21:45,53.1
2018/01/08 22:00,46
2018/01/08 22:15,48
2018/01/08 22:30,45.5
2018/01/08 22:45,50
2018/01/08 23:00,50.3
2018/01/08 23:15,48
2018/01/08 23:30,44.8
2018/01/08 23:45,45
2018/01/09 00:00,41.6
2018/01/09 00:15,46.5
2018/01/09 00:30,45
2018/01/09 00:45,46.2
2018/01/09 01:00,45.2
2018/01/09 01:15,43.3
2018/01/09 01:30,40.6
2018/01/09 01:45,39.2
2018/01/09 02:00,37.5
2018/01/09 02:15,36.4
2018/01/09 02:30,35.5
2018/01/09 02:45,35.7
2018/01/09 03:00,38
2018/01/09 03:15,39.9
2018/01/09 03:30,40.3
2018/01/09 03:45,43.9
2018/01/09 04:00,40.2
2018/01/09 04:15,44.6
2018/01/09 04:30,45.1
2018/01/09 04:45,44.8
2018/01/09 05:00,46.8
2018/01/09 05:15,59.3
2018/01/09 05:30,50.8
2018/01/09 05:45,53.8
