id,year,title,artist,theme,spotifyUrl
948,2006,When The Sun Goes Down,Arctic Monkeys,Sex,http://open.spotify.com/track/2iuIqCjjPKg3DYwHHAo0kJ
949,2006,Let’s Make Love and Listen to Death from Above,CSS,Sex,http://open.spotify.com/track/4Cz17oLEdM9MY5BYtd0S2N
950,2006,Not Ready to Make Nice,Dixie Chicks,Politics and protest,http://open.spotify.com/track/65SgC0WRidtEYjWp4wwBDs
951,2006,My Very Best,Elbow,Heartbreak,
952,2006,Over and Over,Hot Chip,Party songs,http://open.spotify.com/track/6m5D7zGVbzAxceDXQTsRSX
953,2006,Running the World,Jarvis Cocker,Politics and protest,http://open.spotify.com/track/3vHqlBYlLgog7dOJn8K0Tu
954,2006,I’m Free From the Chain Gang Now,Johnny Cash,People and places,http://open.spotify.com/track/52HE6vtu3RydAcSDK3YuuN
955,2006,Smile,Lily Allen,Sex,http://open.spotify.com/track/1elLIGWtTXFm5NSRHDa4w1
956,2006,Feel It (In the Air Tonight),Naturally 7,Life and death,http://open.spotify.com/track/5tr7iRvlbeXhJxCsYpleIb
957,2006,Stuck Between Stations,The Hold Steady,Life and death,http://open.spotify.com/track/4wp6Zi8ugh2aso4J3XnXln
958,2006,You in the Sky,The Waterboys,Life and death,
959,2006,Harrowdown Hill,Thom Yorke,Politics and protest,http://open.spotify.com/track/2C3xIudHEjCIS5KT4JuM0b
960,2007,No One,Alicia Keys,Love,http://open.spotify.com/track/1exNQxJp0tHfKe85qUpRJF
961,2007,Windowsill,Arcade Fire,Politics and protest,http://open.spotify.com/track/4qkqZdYBTa5B5f6ppIXu37
962,2007,Fluorescent Adolescent,Arctic Monkeys,Life and death,http://open.spotify.com/track/1ng9LjmY5V6Wzk9HJqB9FI
963,2007,Night,Benga and Coki,Party songs,
964,2007,Thou Shalt Always Kill,Dan Le Sac vs Scroobius Pip,Politics and protest,http://open.spotify.com/track/2dG4zJhjTK9BkcQQTM9A57
965,2007,Daddy’s Gone,Glasvegas,Heartbreak,http://open.spotify.com/track/5Xkht48NOI9eirHjY7d87I
966,2007,No Pussy Blues,Grinderman,Sex,http://open.spotify.com/track/7hdfYPz4MaEcAH97E0S6vW
967,2007,Ur So Gay,Katy Perry,Heartbreak,http://open.spotify.com/track/5monag19nA467DCEUmE7Lq
968,2007,Golden Skans,Klaxons,Party songs,http://open.spotify.com/track/0RG6G9tAMdFRASUf31TRxr
969,2007,Someone Great,LCD Soundsystem,Life and death,http://open.spotify.com/track/2VGDntFPvgvqSiUf9ITEfW
970,2007,Bleeding Love,Leona Lewis,Heartbreak,http://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe
971,2007,Rainin’ in Paradize,Manu Chao,Politics and protest,http://open.spotify.com/track/66gj35rWhKtwzTt4603exF
972,2007,Valerie,Mark Ronson featuring Amy Winehouse,Love,http://open.spotify.com/track/6wrRgHFLe5RgQLBVbnqCCe
973,2007,Dad’s Gonna Kill Me,Richard Thompson,Politics and protest,http://open.spotify.com/track/65fzTuQr4DhjQATlRq0u8Q
974,2007,Umbrella,Rihanna,Love,http://open.spotify.com/track/0dOAByk7pJESaNScxIr5wI
975,2007,Green Fields,"The Good, the Bad and the Queen",People and places,
976,2008,Another World,Antony and the Johnsons,Politics and protest,http://open.spotify.com/track/4ys9lQG6FGs7ikCGtRCSDt
977,2008,Flume,Bon Iver,Heartbreak,http://open.spotify.com/track/6WlS5FP9XcB410zta3C67v
978,2008,Fat As a Fiddle,Chris Difford,Life and death,
979,2008,The Cottager’s Reply,Chris Wood,Politics and protest,
980,2008,Warwick Avenue,Duffy ,Heartbreak,http://open.spotify.com/track/5Og47k4AHrotP2QP36p5iO
981,2008,One Day Like This,Elbow,Love,http://open.spotify.com/track/6PS9nzG6GUSPbD2A1xGWbm
982,2008,My Three Sons,Elvis Costello and the Imposters,Life and death,http://open.spotify.com/track/42dcvzRNIHgvWpKhjyTOlL
983,2008,Think About It (What Is Wrong With the World Today),Flight of the Conchords,Party songs,http://open.spotify.com/track/2X9FjhzcAdujUqalXXXD27
984,2008,Williams Blood (Aeroplane remix),Grace Jones,Party songs,
985,2008,All the Blowing-Themselves-Up Motherfuckers (Will Realise the Minute They Die That They Were Suckers),Julian Cope,Politics and protest,
986,2008,Say You Will ,Kanye West,Heartbreak,http://open.spotify.com/track/57wUNWELIZOReROLzol83e
987,2008,Sex On Fire,Kings of Leon,Sex,http://open.spotify.com/track/395C2pn0PdOYPzM4B1jLoO
988,2008,Electric Feel,MGMT,Sex,http://open.spotify.com/track/2eGHyarZyRvUgFI4d3G8GN
989,2008,Kids,MGMT,Party songs,http://open.spotify.com/track/2IAcYOEnZWTn3yR6LDslRY
990,2008,Paper Planes (DFA remix),MIA,Party songs,http://open.spotify.com/track/2UZ6MDDg3y5fTAzQU3YYfo
991,2008,Days of Fire,Nitin Sawhney,Politics and protest,
992,2008,A Few Words in Defense of Our Country,Randy Newman,People and places,http://open.spotify.com/track/1IWtqdxdgO1ThXjfjXnsSU
993,2008,Great DJ,The Ting Tings,Party songs,http://open.spotify.com/track/3kmSzP8JUM4kUwPWbOFwqA
994,2008,A Punk,Vampire Weekend,Party songs,http://open.spotify.com/track/0euZeG7kpPhtp4V6e8b9kC
