id,year,title,artist,theme,spotifyUrl
341,1971,Lake Shore Drive,Aliotta Haynes Jeremiah,People and places,
342,1971,Blackwater Side,Anne Briggs,People and places,
343,1971,Ain’t No Sunshine,Bill Withers,Heartbreak,http://open.spotify.com/track/7u9s9Kn0J9U69J0qQV3E5M
344,1971,Grandma’s Hands,Bill Withers,Life and death,http://open.spotify.com/track/1qfDfZAvrkSAFrAR2FTQDv
345,1971,War Pigs,Black Sabbath,Politics and protest,http://open.spotify.com/track/1V0mETNS6mfKRtihAMTtxy
346,1971,I Feel the Earth Move,Carole King,Sex,http://open.spotify.com/track/437fpvkvab2A1kyZWr99u1
347,1971,It’s Too Late,Carole King,Heartbreak,http://open.spotify.com/track/5bl6wYKQnPmHYO7DbF1mg7
348,1971,Peace Train,Cat Stevens,Politics and protest,http://open.spotify.com/track/0kPj8oXqC8iz8AYJc3UUka
349,1971,Kooks,David Bowie,Life and death,http://open.spotify.com/track/4t1XVKQQxxutKSQxBU1ajq
350,1971,Life On Mars?,David Bowie,People and places,http://open.spotify.com/track/1EdKQ7nYYmMEsrcehcHf4Q
351,1971,Vincent,Don McLean,People and places,http://open.spotify.com/track/6b2rn4db84W8Ntz66LHi53
352,1971,And the Band Played Waltzing Matilda,Eric Bogle,Politics and protest,http://open.spotify.com/track/2bcpK9QU6cJW5PlEVQfBd5
353,1971,Me and Bobby McGee,Janis Joplin,People and places,http://open.spotify.com/track/6K81RptJZZaeEkqiV6kpyv
354,1971,Jealous Guy,John Lennon,Heartbreak,
355,1971,Sam Stone,John Prine,Politics and protest,
356,1971,A Case of You,Joni Mitchell,Sex,http://open.spotify.com/track/42kn5anz7d6ykieCG0yIbH
357,1971,Katie Cruel,Karen Dalton,Heartbreak,
358,1971,It Must Be Love,Labi Siffre,Love,http://open.spotify.com/track/2kLNtPuucbm4kPhzWpuOOM
359,1971,Mercy Mercy Me (The Ecology),Marvin Gaye,Politics and protest,http://open.spotify.com/track/72rvx9ydiRGPjvE9Hy1Fi5
360,1971,Save the Children,Marvin Gaye,Life and death,http://open.spotify.com/track/5k2Q94JSvf3gpYIibSz8I4
361,1971,What’s Going On?,Marvin Gaye,Politics and protest,http://open.spotify.com/track/42PyxnviKRfOa8z39g8aZj
362,1971,Maggie May,Rod Stewart,Heartbreak,http://open.spotify.com/track/5bnmFqpNi0JsOUQgQaGtzC
363,1971,Mandolin Wind,Rod Stewart,Love,http://open.spotify.com/track/2YIJ6PXSWgwo25sE9eIzuU
364,1971,Get It On,T Rex,Sex,http://open.spotify.com/track/53sjKpBzCxzmkQIaB0Sbq3
365,1971,A Day in the Life of a Tree,The Beach Boys,Politics and protest,http://open.spotify.com/track/69PvvnBElTbIFHVt9ue58Q
366,1971,Stay With Me,The Faces,Sex,http://open.spotify.com/track/6qpWQy2fQy7X0jJTg7UoiO
367,1971,Moonlight Mile,The Rolling Stones,People and places,http://open.spotify.com/track/19syRYigiBrdGj5HUqBjzx
368,1972,How Can You Mend a Broken Heart ,Al Green,Heartbreak,
369,1972,Love and Happiness,Al Green,Love,
370,1972,School’s Out,Alice Cooper,Life and death,http://open.spotify.com/track/1ad6vKBg5pzyM9oCQ0M9Fg
371,1972,Thirteen,Big Star,Love,
372,1972,Lean on Me,Bill Withers,Love,http://open.spotify.com/track/4IXTOcB1eMoE7dkBs6oRHr
373,1972,Use Me,Bill Withers,Heartbreak,http://open.spotify.com/track/7bIC3bWre8rInwCizxLMPQ
374,1972,Me and Mrs Jones,Billy Paul,Sex,http://open.spotify.com/track/5GYcaVfaFBHe2gzA6Oybgj
375,1972,You’re So Vain,Carly Simon,Heartbreak,http://open.spotify.com/track/46aRTYYXkN8ok6fnv9ljvr
376,1972,I’m On My Way to a Better Place,Chairmen of the Board,Life and death,
377,1972,My Ding-a-Ling,Chuck Berry,Sex,http://open.spotify.com/track/2x54atSzwJO7zngKHdePjb
378,1972,Somebody Oughta Turn Your Head Around,Crystal Mansion,Party songs,
379,1972,Puppy Love,Donny Osmond,Love,http://open.spotify.com/track/3ABtW1kSCzKlJGGDYFH7GV
380,1972,Always on My Mind,Elvis Presley,Heartbreak,http://open.spotify.com/track/7mm18MJI4UpSS2IfsId0qB
381,1972,Alone Again (Naturally),Gilbert O’Sullivan,Life and death,
382,1972,Roadrunner,Jonathan Richman and the Modern Lovers,People and places,
383,1972,Soul Makossa,Manu Dibango,Party songs,http://open.spotify.com/track/4JaOd0NUBTckYFZMguuY7M
384,1972,A Man Needs a Maid,Neil Young,Heartbreak,http://open.spotify.com/track/09EdAJXci83YhVYUaZtLOw
385,1972,Neil Young,Old Man,Life and death,http://open.spotify.com/track/2AylP2SrOxus7LieLnzUQG
386,1972,Me and Julio Down By the Schoolyard,Paul Simon,Life and death,http://open.spotify.com/track/1XU3s83WnD0EZh6KZHNLEX
387,1972,God’s Song (That’s Why I Love Mankind),Randy Newman,Life and death,http://open.spotify.com/track/0gvmUlKbABaYKEtOV40aA8
388,1972,You Can Leave Your Hat On,Randy Newman,Sex,http://open.spotify.com/track/6g15icndZ6ig2CtKcayHHx
389,1972,Virginia Plain,Roxy Music,Party songs,http://open.spotify.com/track/6b4wMiPcl21hL8owVgIshi
390,1972,Taxes on the Farmer Feeds Us All,Ry Cooder,People and places,
391,1972,I’ll Be Around,The Spinners,Love,http://open.spotify.com/track/2vLaES21zwbX1Rnmj56Bbb
392,1972,Saturday Nite Special,The Sundown Playboys,Party songs,
393,1972,Get On Top,Tim Buckley,Sex,http://open.spotify.com/track/2OqesAvEfzM5KvBHhRlz5l
394,1972,I Saw the Light,Todd Rundgren,Love,http://open.spotify.com/track/2QNMAvCnpIN6P43f8HPKp1
395,1973,Dream On,Aerosmith,Life and death,http://open.spotify.com/track/2WZbjDTXP78H9xq58cnSWF
396,1973,Knockin’ On Heaven’s Door,Bob Dylan,Life and death,http://open.spotify.com/track/0BemTX3XUeTyL8UgICqjkj
397,1973,Jolene,Dolly Parton,Heartbreak,http://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn
398,1973,Long Train Runnin’,Doobie Brothers,Party songs,http://open.spotify.com/track/6DwWChkbqCyv1wwflMkLRZ
399,1973,She,Gram Parsons,Love,http://open.spotify.com/track/0ik33iwk2do6Rf9rQs7e8X
400,1973,She’s Gone,Halls and Oates,Heartbreak,
401,1973,May You Never,John Martyn,Life and death,http://open.spotify.com/track/47qIZIE8m5zcjmpJL7DSS9
402,1973,I’m So in Love,Leroy Hutson,Love,http://open.spotify.com/track/7yLQMOBHYEkFkFQcEoNEpR
403,1973,Berlin,Lou Reed,People and places,
404,1973,Sad Song,Lou Reed,Heartbreak,
405,1973,Let’s Get It On,Marvin Gaye,Sex,http://open.spotify.com/track/5qAV9Xmezj2Fb2cUkZCKqS
406,1973,My Love,Paul McCartney and Wings,Love,http://open.spotify.com/track/5SL1Vx2h1ULwp1EKYKp1UN
407,1973,I’m Gonna Be an Engineer,Peggy Seeger,Politics and protest,http://open.spotify.com/track/1bXhsrCeznTkbigKIqVIQq
408,1973,Killing Me Softly With His Song,Roberta Flack,Love,http://open.spotify.com/track/60SJRvzXJnVeVfS4RiH14u
409,1973,In Every Dream Home a Heartache,Roxy Music,Sex,http://open.spotify.com/track/3Wkho6tesTh4aF80T6evqH
410,1973,You Gotta Come a Little Closer,Soul Brothers Six,Love,
411,1973,The Dutchman,Steve Goodman,Love,http://open.spotify.com/track/7gSXNrDpUr5mMDThxS6Y6i
412,1973,Don’t You Worry ‘Bout a Thing,Stevie Wonder,Life and death,
413,1973,Living for the City,Stevie Wonder,People and places,http://open.spotify.com/track/1XtEFMgU5u5yHa5N4GxIbA
414,1973,Stoned Out of My Mind,The Chi-Lites,Love,http://open.spotify.com/track/3R35ltXFfFzAk5cCAKgZF8
415,1973,Summer Breeze,The Isley Brothers,Love,http://open.spotify.com/track/5tECQN3UPXULg4nzgkXM9r
416,1973,"Get Up, Stand Up",The Wailers,Politics and protest,http://open.spotify.com/track/4xAMYRrgL5JaaR57g2cPrS
417,1973,Martha,Tom Waits,Life and death,http://open.spotify.com/track/2r0SdO3iOO3dmmVUdwzwzD
418,1973,Me and Baby Brother,War,Party songs,http://open.spotify.com/track/28q8PaM3ROCZMKeNRBg5Yq
419,1974,Let’s Get Married,Al Green,Love,
420,1974,Forever Young,Bob Dylan,Life and death,http://open.spotify.com/track/1xOqdmOQsvP0dwZL5d46WA
421,1974,Wedding Song,Bob Dylan,Love,http://open.spotify.com/track/6O5MMLdfCMSohn7uvSLXqS
422,1974,"No Woman, No Cry",Bob Marley and the Wailers,People and places,http://open.spotify.com/track/2Fl520GM5Pq1yCxSruf3gj
423,1974,Ain’t No Love in the Heart of the City,Bobby Bland,People and places,
424,1974,Machine Gun,Commodores,Party songs,http://open.spotify.com/track/2INLSpeJq53F0HtnNHV3Ad
425,1974,I Will Always Love You,Dolly Parton,Love,http://open.spotify.com/track/1n3q9eF2qqOaWHBBQHLRXw
426,1974,Rock Your Baby,George McCrae,Party songs,http://open.spotify.com/track/1lmfsSEuxU4PpT739Kihno
427,1974,The Bottle,Gil Scott-Heron,Party songs,http://open.spotify.com/track/4lgCSMpVERwvfa9A8tDXJQ
428,1974,"$1,000 Wedding",Gram Parsons,Heartbreak,http://open.spotify.com/track/53egTlbVDqNH2SRmZTknrC
429,1974,Love Hurts,Gram Parsons with Emmylou Harris,Heartbreak,http://open.spotify.com/track/51sT9Y2lXJocjVUhA5NFK1
430,1974,90% of Me is You,Gwen McRae,Love,http://open.spotify.com/track/4dz8fFVtr8dPMqGThk5Cbs
431,1974,Hang On in There Baby,Johnny Bristol,Party songs,http://open.spotify.com/track/03ZrvcYZGCYpimu6dYdhPY
432,1974,Help Me,Joni Mitchell,Love,http://open.spotify.com/track/4gvV5Ib89fiwMtQ4biQQjd
433,1974,Black Diamond,Kiss,Sex,http://open.spotify.com/track/6ChyfMvHeIdX7vaNR249AK
434,1974,Lady Marmalade,Labelle,Sex,http://open.spotify.com/track/3xqe6BzisHN08DOYYqTcsh
435,1974,Chelsea Hotel #2,Leonard Cohen,People and places,http://open.spotify.com/track/48WhdGNxaxHMdRxs11ampi
436,1974,Chris Bell,Look Up,Life and death,
437,1974,Sweet Home Alabama,Lynyrd Skynyrd,People and places,http://open.spotify.com/track/1KZ1hkR3lxhIRW57sPaY07
438,1974,Summer (The First Time),Millie Jackson,Sex,
439,1974,Piss Factory,Patti Smith,Life and death,http://open.spotify.com/track/4jue8yd6Ct7191KkADXyzO
440,1974,Now I’m Here,Queen,Party songs,http://open.spotify.com/track/0s0i59YQo6TBJXEvxkoIfU
441,1974,The End of the Rainbow,Richard and Linda Thompson,Life and death,http://open.spotify.com/track/4A1SdZ4anubLlSu1NRtQuZ
442,1974,Once You Get Started,Rufus featuring Chaka Khan,Party songs,http://open.spotify.com/track/5jAhlLUmtIBRTzM3f1Im6r
443,1974,You Haven’t Done Nothin’,Stevie Wonder,Politics and protest,http://open.spotify.com/track/6iNsJeA9xAbfiGAOzsI93H
444,1974,Seasons in the Sun,Terry Jacks,Life and death,
445,1974,That’s How Long,The Chi-Lites,Love,
446,1975,Hurricane,Bob Dylan,Politics and protest,http://open.spotify.com/track/6ZRnk0vJtbgbReepK6m469
447,1975,Idiot Wind,Bob Dylan,Heartbreak,http://open.spotify.com/track/6M4ch4i9qn5uWVrEeMGn9i
448,1975,"If You See Her, Say Hello",Bob Dylan,Heartbreak,http://open.spotify.com/track/16M0VBfpUnVkUfKknW1gar
449,1975,Tangled up in Blue,Bob Dylan,Heartbreak,http://open.spotify.com/track/3fSmfeHzyp33FHpVKqavaw
450,1975,Born to Run,Bruce Springsteen,People and places,http://open.spotify.com/track/3JlWTo11ustqpPS1V7Jivs
451,1975,Slavery Days,Burning Spear,Politics and protest,http://open.spotify.com/track/1YiCnD7YmmCXWLregZmdoM
452,1975,Love Will Keep Us Together,Captain and Tennille ,Party songs,http://open.spotify.com/track/10pcZvQ4QTKeHRvTUAeHVD
453,1975,Born to Be With You,Dion,Love,
454,1975,Love to Love You Baby,Donna Summer,Sex,http://open.spotify.com/track/3XlWYam3ILQ9txcjjjJixQ
455,1975,Boulder to Birmingham,Emmylou Harris ,People and places,http://open.spotify.com/track/3PAnJueYX2pM8Ig0xSnkbI
456,1975,LA Freeway,Guy Clark,People and places,http://open.spotify.com/track/0FIn08OKKHVRSFJfm6QBmS
457,1975,You Sexy Thing,Hot Chocolate,Sex,http://open.spotify.com/track/3FJ86KB6nSQ1vTJbupZmmv
458,1975,Diamonds and Rust,Joan Baez,Heartbreak,http://open.spotify.com/track/5lZ4Dm9BBGcCBVbfzxnyCX
459,1975,Turn Off the Lights,Larry Young,Party songs,http://open.spotify.com/track/2kXBmTMIDIlNSQEeaQl95A
460,1975,Rufus Is a Tit Man,Loudon Wainwright III,Life and death,http://open.spotify.com/track/7ELRQhh1oVMPQCPUiUqrvH
461,1975,Cross the Tracks (We Better Go Back),Maceo and the Macks,Party songs,http://open.spotify.com/track/6n87nzWTGpNr26NbkNQoVv
462,1975,Inside My Love,Minnie Riperton,Sex,http://open.spotify.com/track/3oxLJ747VFQTlAdrVMpznH
463,1975,Gin House Blues,Nina Simone,Party songs,http://open.spotify.com/track/0aGprKPHGtQyQZ9RCQ9mNI
464,1975,50 Ways to Leave Your Lover,Paul Simon,Heartbreak,http://open.spotify.com/track/2VrS8weZmIHO4LtRQibMvJ
465,1975,Shine on You Crazy Diamond,Pink Floyd,People and places,
466,1975,You’re My Best Friend,Queen,Love,http://open.spotify.com/track/0WMmdTiZrDkObaABU7mylW
467,1975,Mehbooba Mehbooba,R D Burman,Love,
468,1975,Lyin’ Eyes,The Eagles,Sex,
469,1976,Blue Öyster Cult,(Don’t Fear) The Reaper,Life and death,http://open.spotify.com/track/2NL4BBBSgypHnxUKmQdYcT
470,1976,Dancing Queen,Abba,Party songs,http://open.spotify.com/track/2rgqPSIRAfaO2MGo9smdSX
471,1976,It Was Jealousy,Ann Peebles,Heartbreak,
472,1976,Let’s Stick Together,Bryan Ferry,Love,http://open.spotify.com/track/47KlEDyoBmF5ulJu6qmcHo
473,1976,Young Hearts Run Free,Candi Staton,Party songs,http://open.spotify.com/track/3MFa9idQuY4iJLWsZl3tIQ
474,1976,Cokane in My Brain,Dillinger,Party songs,http://open.spotify.com/track/4qhRH8f3Du6ooDZFaKou45
475,1976,Livin’ Thing,Electric Light Orchestra,Party songs,http://open.spotify.com/track/7l6rfNKHyD8MsXkJztfzFi
476,1976,Last Night Changed It All,Esther Williams,Party songs,http://open.spotify.com/track/6zMgWeJracgip80YQZsIj2
477,1976,Upside Down,Fela Kuti,Party songs,http://open.spotify.com/track/0dle66YE2om3mCgTguJLOK
478,1976,Police and Thieves,Junior Murvin,Politics and protest,http://open.spotify.com/track/3cnvTMZRhkbzea0KC4Y4We
479,1976,"I’m Gonna Love You Just a Little More, Baby",Kellee Patterson,Sex,
480,1976,Legalize It,Peter Tosh,Politics and protest,http://open.spotify.com/track/3j4f5c97RD6GxVeUySXyUd
481,1976,Dat,Pluto Shervington,Party songs,
482,1976,The Killing of Georgie (Part I and II),Rod Stewart,Politics and protest,http://open.spotify.com/track/1VcmUcqIu77SOnRjAvbFTc
483,1976,Car Wash,Rose Royce,Party songs,http://open.spotify.com/track/1tJtx09XQnxaynZLOaTNfZ
484,1976,Anarchy in the UK,Sex Pistols,Politics and protest,http://open.spotify.com/track/7KwdlMKVUyMsyrL523djBl
485,1976,Disco Inferno,The Trammps,Party songs,http://open.spotify.com/track/5jUA1njy3h6ynHLvPdEVHt
486,1976,The Boys Are Back in Town,Thin Lizzy,People and places,http://open.spotify.com/track/3w7SMX2L4Tx6GAR8cr5H5L
487,1977,Uptown Top Ranking,Althea and Donna,Party songs,http://open.spotify.com/track/34zWZOSpU2V1ab0PiZCcv4
488,1977,"Yes Sir, I Can Boogie",Baccara,Party songs,http://open.spotify.com/track/268jT4m5ztrceh5qdzpQ68
489,1977,Orgasm Addict,Buzzcocks,Sex,http://open.spotify.com/track/4iUvyJkurdF6iDzdY4Z4al
490,1977,I Was Born This Way,Carl Bean,Politics and protest,
491,1977,Nobody Does it Better,Carly Simon,Heartbreak,http://open.spotify.com/track/240vi0Gt8ZOdPwC1PbzfUJ
492,1977,Heroes,David Bowie,Love,http://open.spotify.com/track/1qyRX6xXvsmbxR6FEnVSv2
493,1977,I Feel Love ,Donna Summer,Love,http://open.spotify.com/track/6efRrfjV1YW1rtecLUHoP1
494,1977,Zombie,Fela Kuti,Politics and protest,http://open.spotify.com/track/0tOqZJsRP90T91Jx4pzAjB
495,1977,Doctor Love,First Choice,Party songs,
496,1977,Go Your Own Way,Fleetwood Mac,Heartbreak,http://open.spotify.com/track/5qg6DB7nxilzxxzalcpNU3
497,1977,La Vie En Rose,Grace Jones,Love,http://open.spotify.com/track/50SLOKltoko04YawlAjDeH
498,1977,Billericay Dickie,Ian Dury,People and places,
499,1977,Wake Up and Make Love With Me,Ian Dury and the Blockheads,Sex,
500,1977,Trans-Europe Express,Kraftwerk,People and places,http://open.spotify.com/track/0E4dDQtMRsh2hil3J9hTMj
501,1977,Like a Hurricane,Neil Young,Love,http://open.spotify.com/track/1756tFft3p2hTUBzg9bKdQ
502,1977,Solsbury Hill,Peter Gabriel,People and places,
503,1977,Baltimore,Randy Newman,People and places,
504,1977,Short People,Randy Newman,Politics and protest,http://open.spotify.com/track/6emIUUgOV0lPgUYbJ1RZ7I
506,1977,Runaway,Salsoul Orchestra,Party songs,
507,1977,God Save the Queen,Sex Pistols,Politics and protest,http://open.spotify.com/track/7mkLlx81e3LaCrPVZYOBCT
508,1977,If the Kids Are United,Sham 69,Politics and protest,http://open.spotify.com/track/2ZybCRD7fboSUv7HkXyjuN
509,1977,Do What You Wanna Do,T-Connection,Party songs,http://open.spotify.com/track/5PzK3L2Lm4mbo0H89CAWzg
510,1977,Psycho Killer,Talking Heads,Life and death,http://open.spotify.com/track/1F9RobwaMi1mimBs0hW3kB
511,1977,How Deep is Your Love?,The Bee Gees,Love,http://open.spotify.com/track/1gIKd24bixkgYzuxse32oR
512,1977,White Riot,The Clash,Politics and protest,http://open.spotify.com/track/40t0GuTTYhobrOijf3PfEP
513,1977,Fisherman,The Congos,Life and death,http://open.spotify.com/track/00m6N23ZTNEtsg65N1WcDV
514,1978,Night Fever,Bee Gees,Party songs,http://open.spotify.com/track/66wpCqkkM6MrxXSbfgmsrh
515,1978,Kangaroo,Big Star,Sex,
516,1978,Chancery Lane,Bim Sherman,People and places,
517,1978,Heart of Glass,Blondie,Heartbreak,http://open.spotify.com/track/0a4agFmqHXxcZl1nho1BxM
518,1978,Is This Love?,Bob Marley,Love,http://open.spotify.com/track/6wwxa6n8kSf3Bd0apxe0iy
519,1978,Ever Fallen in Love (With Someone You Shouldn’t’ve),Buzzcocks,Heartbreak,http://open.spotify.com/track/4JXtIl8MKQT9Q7XkVvWV2I
520,1978,Le Freak,Chic,Party songs,http://open.spotify.com/track/4HHQNuSudz9yv7piGFMchm
521,1978,One Nation Under a Groove,Funkadelic,Party songs,
522,1978,I Will Survive,Gloria Gaynor,Heartbreak,http://open.spotify.com/track/1lBbC5ez7W0VgrRGGeybTY
523,1978,Hit Me With Your Rhythm Stick,Ian Dury and the Blockheads,Party songs,
524,1978,Is She Really Going Out With Him?,Joe Jackson,Heartbreak,http://open.spotify.com/track/3P97XnD4osOqR4lRPalNPV
525,1978,The Man With the Child in His Eyes,Kate Bush,Love,http://open.spotify.com/track/4xjVfArXNQRxAvsUpjmfMt
526,1978,It’ll All Come Around,Patsy Gallant,Love,
527,1978,Da Ya Think I’m Sexy,Rod Stewart,Sex,http://open.spotify.com/track/42GthmiW6mIvcyaJHdMk30
528,1978,Baby Let’s Dance Together,Sapan Chakraborty,Party songs,
529,1978,Suspect Device,Stiff Little Fingers,Politics and protest,http://open.spotify.com/track/7Ig7b1MJJKbNyTxLU6u9rZ
530,1978,You Make Me Feel (Mighty Real),Sylvester,Party songs,http://open.spotify.com/track/0DY0B9PkxKFVs0YagNcAC4
531,1978,Stay Free,The Clash,Love,
532,1978,Killing an Arab,The Cure,Life and death,http://open.spotify.com/track/4kE10gVBAweSufT8XOcdWv
533,1978,Down in the Tube Station at Midnight,The Jam,People and places,http://open.spotify.com/track/3pmY0mjzWegSxdMPwYZwSj
534,1978,Warm Leatherette,The Normal,Sex,http://open.spotify.com/track/6LNFfNZ5HL9lDQpB52eGOh
535,1978,Can’t Stand Losing You,The Police,Heartbreak,http://open.spotify.com/track/1VKbWRpwV2XXSJSZ2w534h
536,1978,Roxanne,The Police,Sex,http://open.spotify.com/track/4pe9XMdCpgblon0CrB9jtm
537,1978,Glad to Be Gay,Tom Robinson,Politics and protest,http://open.spotify.com/track/15mRglwFDmZEF5D0HfsiaQ
538,1978,Germ Free Adolescents,X-Ray Spex,Life and death,http://open.spotify.com/track/0h0TIuu7EHy43Cw3aEETjF
539,1979,Gimme! Gimme! Gimme! (A Man After Midnight),Abba,Sex,http://open.spotify.com/track/2TjNlK2tNBxF8C8RIaK9Gb
540,1979,Bourgie Bourgie ,Ashford and Simpson,Party songs,http://open.spotify.com/track/2qwFWKUwT7SqADAWtWEn1s
541,1979,One Way Or Another,Blondie,Heartbreak,http://open.spotify.com/track/5Q7cE6wGHMehLFo2ppkk5D
542,1979,Zimbabwe,Bob Marley and the Wailers,Politics and protest,http://open.spotify.com/track/3saDCpULymKQcyY8Ia0ULi
543,1979,Repetition,David Bowie,Heartbreak,http://open.spotify.com/track/6Q4S1KWuAg082DHm6BsazJ
544,1979,California Über Alles,Dead Kennedys,Politics and protest,http://open.spotify.com/track/5szJ8SMwQVEvvdk65w6M6g
545,1979,Boogie Wonderland,"Earth, Wind and Fire",Party songs,http://open.spotify.com/track/0jyElqUm59deyol951jPsr
546,1979,Are You Ready For Love,Elton John,Love,http://open.spotify.com/track/6TNHLD7QyX5KxdYmNwwDA6
547,1979,Cars,Gary Numan,People and places,http://open.spotify.com/track/3CKLPDN1AIOYa7QPpy6oDH
548,1979,Silly Games ,Janet Kay,Party songs,http://open.spotify.com/track/4sBBSqBIG5gnlx95QQj4XH
549,1979,Transmission,Joy Division,Party songs,http://open.spotify.com/track/69aXQyUnUC0BWgATlSWNB2
550,1979,Pop Muzik,M,Party songs,http://open.spotify.com/track/0SHbehTzk01RfLDVAVaCtA
551,1979,There But for the Grace of God,Machine,Party songs,
552,1979,Why’d Ya Do It?,Marianne Faithfull,Heartbreak,http://open.spotify.com/track/1XZLci5bjgHM5LC1Xs1cQe
553,1979,Don’t Stop ’Til You Get Enough,Michael Jackson,Party songs,http://open.spotify.com/track/5NWKkTdkHSZalDaorymVHQ
554,1979,Off the Wall,Michael Jackson,Party songs,http://open.spotify.com/track/2qfiBST2NqT6PXnwaW9Gbn
555,1979,Frederick,Patti Smith,Love,http://open.spotify.com/track/7AXFxcR4QfoTPaWinYCFB3
556,1979,"Another Brick in the Wall, Part II",Pink Floyd,Life and death,
557,1979,Stand Up for Judas,Roy Bailey,Politics and protest,
558,1979,On My Radio,Selector,Party songs,http://open.spotify.com/track/3Qmtadha85zkLH1H9EGi3u
559,1979,He’s the Greatest Dancer,Sister Sledge,Party songs,http://open.spotify.com/track/5MuNxNox3zTanAFIO5KcTl
560,1979,Lost in Music,Sister Sledge,Party songs,http://open.spotify.com/track/3FnkIp37lBYvHljKemR6zp
561,1979,Beat the Clock,Sparks,Party songs,
562,1979,Up the Junction,Squeeze,People and places,http://open.spotify.com/track/1zWLu0Glg7glW6ulCfDbeN
563,1979,London Calling,The Clash,People and places,http://open.spotify.com/track/6UxHw23oizTlIyolc4Alaz
564,1979,The Eton Rifles,The Jam,Politics and protest,http://open.spotify.com/track/3Q1p4GBjyj6n54oFBCicwB
565,1979,My Sharona,The Knack,Party songs,http://open.spotify.com/track/1FTnBp64Iy26qERGibjknm
566,1979,I’m in the Mood for Dancing,The Nolans,Party songs,http://open.spotify.com/track/5ZfCBpUOj3guBzjQIsDhIr
567,1979,Message in a Bottle,The Police,Life and death,http://open.spotify.com/track/33MxZySx17wtJmXUeQwrdG
568,1979,She is Beyond Good and Evil,The Pop Group,Love,http://open.spotify.com/track/2A99HGtYXdCZKYrvPqzA6v
569,1979,Brass in Pocket,The Pretenders,Party songs,http://open.spotify.com/track/3LRFgPsd8LwJb8TJchrAuO
570,1979,Nite Klub,The Specials,Party songs,http://open.spotify.com/track/2wpQZvvrg6zUBPPBdWgcLK
571,1979,Rapper’s Delight,The Sugarhill Gang,Party songs,http://open.spotify.com/track/1qb27ZTsi0gVxHteAjPOyD
572,1979,It’s All in the Game,Van Morrison,Heartbreak,http://open.spotify.com/track/4LPR6jSlFTTHavQVaYLfXR
573,1980,The Winner Takes It All,Abba,Heartbreak,http://open.spotify.com/track/1g1RLXmuXu7HpMA6gmiYve
574,1980,Back in Black,AC/DC,Party songs,
575,1980,You Shook Me All Night Long,AC/DC,Sex,
576,1980,Madness,Baggy Trousers,Life and death,
577,1980,Redemption Song,Bob Marley,Politics and protest,http://open.spotify.com/track/0RiNfhn21ykBakicd7igLK
578,1980,Whip It,Devo,Party songs,http://open.spotify.com/track/6QG0wcgoCsa9pqFyTg0rRO
579,1980,Geno,Dexys Midnight Runners,People and places,http://open.spotify.com/track/7gb626DDDHoiuVAGZEnlJk
580,1980,I’m Coming Out,Diana Ross,Politics and protest,http://open.spotify.com/track/0ew27xRdxSexrWbODuLfeE
581,1980,9 to 5,Dolly Parton,Life and death,http://open.spotify.com/track/5UWYJWoVXRpaLuzzXmHqg8
582,1980,High Fidelity ,Elvis Costello and the Attractions,Sex,http://open.spotify.com/track/0FKPuEwGl4zunq0HKcoxQ5
583,1980,"New York, New York",Frank Sinatra,People and places,http://open.spotify.com/track/4tMPwjAb9FYZ2HHgXj24LU
584,1980,Love Will Tear Us Apart,Joy Division,Heartbreak,http://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf
585,1980,Army Dreamers,Kate Bush,Politics and protest,http://open.spotify.com/track/2duFyIqY9RHzOMruitwPkq
586,1980,Is It All Over My Face,Loose Joints,Party songs,
587,1980,On the Blanket,Mick Hanly with Christy Moore,Politics and protest,
588,1980,Shake Your Tailfeather,Ray Charles,Party songs,
589,1980,Master Blaster (Jammin),Stevie Wonder,People and places,http://open.spotify.com/track/3Q5K3AUwRshY9TSXxRk3IW
590,1980,Once in a Lifetime,Talking Heads,Life and death,http://open.spotify.com/track/7CIYGsVYYqUyNnwmU2bc32
591,1980,Stand Down Margaret,The Beat,Politics and protest,http://open.spotify.com/track/3Yhr8WrFPnwBFwxhFLUwzh
592,1980,Drug Train,The Cramps,Party songs,http://open.spotify.com/track/4a61QVxWahKxq40GtkcS3x
593,1980,Going Underground,The Jam,Politics and protest,http://open.spotify.com/track/0hhikHUpfUlMBRD2gSf0mu
594,1980,My Perfect Cousin,The Undertones,People and places,http://open.spotify.com/track/2YGzQWJGukgL3eXslK1okj
595,1980,Turning Japanese,The Vapors,Sex,http://open.spotify.com/track/30cHDhxUqgnHq78hv5UjMx
596,1980,Ruby’s Arms,Tom Waits,Heartbreak,http://open.spotify.com/track/0YUvSNoGzYp67QjLOmzVnW
597,1980,On the Road Again,Willie Nelson,People and places,http://open.spotify.com/track/3c4gb10sLoDr3OCoLIKRqm
598,1981,Tears Are Not Enough,ABC,Heartbreak,http://open.spotify.com/track/1DsmvwImEiDU0tLMOvOJZD
599,1981,Come Again,Au Pairs,Sex,
600,1981,Guilty,Barbra Streisand and Barry Gibb,Sex,http://open.spotify.com/track/60mGckXEG1EzR4VmjYLfEW
601,1981,Every Grain of Sand,Bob Dylan,Life and death,
602,1981,Cruisin’ the Streets,Boys Town Gang,Sex,
603,1981,Weekend,Class Action,Party songs,
