week,qType,rank,question,relFreq
2020-09-06,how,8,How to boost immune system,10
2020-09-13,how,8,How to boost immune system,12
2020-09-20,how,8,How to boost immune system,10
2020-09-27,how,8,How to boost immune system,6
2020-10-04,how,8,How to boost immune system,8
2020-10-11,how,8,How to boost immune system,2
2020-10-18,how,8,How to boost immune system,8
2020-10-25,how,8,How to boost immune system,4
2020-11-01,how,8,How to boost immune system,2
2020-11-08,how,8,How to boost immune system,2
2020-11-15,how,8,How to boost immune system,8
2020-11-22,how,8,How to boost immune system,4
2020-11-29,how,8,How to boost immune system,8
2020-12-06,how,8,How to boost immune system,2
2020-12-13,how,8,How to boost immune system,0
2020-12-20,how,8,How to boost immune system,3
2020-01-05,how,9,How to self isolate,0
2020-01-12,how,9,How to self isolate,0
2020-01-19,how,9,How to self isolate,0
2020-01-26,how,9,How to self isolate,0
2020-02-02,how,9,How to self isolate,0.29
2020-02-09,how,9,How to self isolate,0
2020-02-16,how,9,How to self isolate,0.31
2020-02-23,how,9,How to self isolate,3
2020-03-01,how,9,How to self isolate,7
2020-03-08,how,9,How to self isolate,42
2020-03-15,how,9,How to self isolate,100
2020-03-22,how,9,How to self isolate,64
2020-03-29,how,9,How to self isolate,24
2020-04-05,how,9,How to self isolate,14
2020-04-12,how,9,How to self isolate,9
2020-04-19,how,9,How to self isolate,4
2020-04-26,how,9,How to self isolate,6
2020-05-03,how,9,How to self isolate,4
2020-05-10,how,9,How to self isolate,4
2020-05-17,how,9,How to self isolate,4
2020-05-24,how,9,How to self isolate,6
2020-05-31,how,9,How to self isolate,3
2020-06-07,how,9,How to self isolate,3
2020-06-14,how,9,How to self isolate,3
2020-06-21,how,9,How to self isolate,3
2020-06-28,how,9,How to self isolate,3
2020-07-05,how,9,How to self isolate,5
2020-07-12,how,9,How to self isolate,4
2020-07-19,how,9,How to self isolate,6
2020-07-26,how,9,How to self isolate,8
2020-08-02,how,9,How to self isolate,6
2020-08-09,how,9,How to self isolate,5
2020-08-16,how,9,How to self isolate,10
2020-08-23,how,9,How to self isolate,9
2020-08-30,how,9,How to self isolate,10
2020-09-06,how,9,How to self isolate,14
2020-09-13,how,9,How to self isolate,17
2020-09-20,how,9,How to self isolate,19
2020-09-27,how,9,How to self isolate,21
2020-10-04,how,9,How to self isolate,25
2020-10-11,how,9,How to self isolate,26
2020-10-18,how,9,How to self isolate,27
2020-10-25,how,9,How to self isolate,34
