id,sGroup,sTime,Villaines,Fougeres,Tinteniac,Loudeac,St Nicolas,Carhaix,Brest,Carhaix2,Loudeac2,Tinteniac2,Fougeres2,Villaines2,Mortagne,Dreux,Guyancourt
N010,90h,2015-08-16T19:01Z,37177,55571,66532,86211,97557,119704,138819,160642,179465,208610,222777,245840,267364,290630,309030
M338,90h,2015-08-16T18:46Z,33858,53990,69565,90605,103713,119776,139292,161389,179461,210298,224849,243520,263609,281356,309092
M340,90h,2015-08-16T18:46Z,35498,53932,69578,90599,103656,119774,139694,161392,179455,212125,224825,243436,263688,281266,309095
M263,90h,2015-08-16T18:46Z,33741,52793,64523,83411,99956,107611,130158,156334,176328,205222,220219,242505,265688,290186,309144
N171,90h,2015-08-16T19:00Z,36047,54185,66907,84149,118957,126715,146391,167126,186273,222045,233090,253697,272028,290411,309152
M117,90h,2015-08-16T18:46Z,34957,50415,62060,80140,108581,115169,136679,156534,194042,215592,227564,248547,266266,290588,309157
R016,90h,2015-08-16T19:32Z,38657,61211,71038,91123,105354,114789,138209,164990,186632,214071,228809,251403,273947,292173,309185
N209,90h,2015-08-16T19:01Z,37025,55782,66155,85272,118087,125182,148603,167104,181767,218573,233033,252898,269706,295688,309210
F074,90h,2015-08-16T17:17Z,36024,53704,64663,83102,95118,101739,139918,159983,179489,197977,231264,251762,270481,291077,309346
N260,90h,2015-08-16T19:01Z,34752,52352,63712,83827,104188,119119,140439,161272,180187,208615,228926,250850,269365,289615,309369
H084,90h,2015-08-16T18:32Z,31982,63298,73110,92126,102886,127219,145905,164266,182280,215980,229986,250864,266983,286468,309372
L125,90h,2015-08-16T18:32Z,31971,63299,73059,92124,102890,127220,145906,164267,182286,215973,229987,250863,266973,286467,309373
K292,90h,2015-08-16T18:17Z,42044,62435,73356,93182,106563,113599,145212,164731,183979,204140,226890,245629,264061,283661,309393
N011,90h,2015-08-16T19:01Z,38896,58603,71784,90168,116747,123520,144128,164461,179830,210819,224128,246524,270572,292432,309398
S126,90h,2015-08-16T19:46Z,37390,55492,73270,91613,112842,120765,143227,167236,191908,223740,234001,254821,273353,295793,309406
P067,90h,2015-08-16T19:16Z,38997,58046,73380,91161,122270,128773,144891,167205,184788,214055,227390,252710,269855,289945,309452
J274,90h,2015-08-16T18:01Z,32949,51911,65292,84229,96171,102663,140689,158838,177063,195991,221555,243204,260427,276112,309462
P267,90h,2015-08-16T19:16Z,38288,57188,70577,86245,116862,123677,142168,160241,178903,214660,227624,247022,265519,295363,309464
N335,90h,2015-08-16T19:02Z,39958,59095,71409,88418,101812,127127,144471,167157,187830,220359,232728,254288,277517,293997,309484
T288,90h,2015-08-16T20:01Z,35171,53033,67154,84672,100937,121515,140029,160671,181295,219739,230791,247429,262825,296944,309489
L297,90h,2015-08-16T18:31Z,35519,61019,72395,89009,100446,128960,148802,168319,182870,223551,234213,252553,266908,287904,309494
N216,90h,2015-08-16T19:02Z,36364,54219,65874,84655,96871,116603,137608,158661,178921,205005,221704,242265,260276,280233,309508
L195,90h,2015-08-16T18:31Z,35548,57159,69134,89279,99978,117162,139897,164151,182674,215179,231444,249925,267366,289972,309533
G050,90h,2015-08-16T17:32Z,34798,52989,73230,92958,104992,112944,130325,163656,185607,203608,229145,250366,269690,293584,309535
S143,90h,2015-08-16T19:46Z,32323,48130,59002,89303,104843,111203,132443,155603,174203,206603,222143,242903,263783,291863,309563
G216,90h,2015-08-16T17:32Z,34158,50472,60630,76617,97776,104217,135139,160063,180974,213007,227867,248304,269029,294841,309570
J186,90h,2015-08-16T18:01Z,39107,57792,70675,91955,105717,117049,139439,159658,181456,207107,221687,241411,265503,291858,309576
K128,90h,2015-08-16T18:17Z,35426,54278,65130,81007,92394,99904,122384,151100,171906,187038,200797,236453,254175,269140,309577
N015,90h,2015-08-16T19:00Z,34707,53664,64087,81023,93579,105960,140750,159857,177190,198910,225354,243203,265459,283791,309578
G205,90h,2015-08-16T17:32Z,36847,59443,71000,92119,106023,115998,138476,165529,186032,216014,226667,249929,268156,294463,309623
S065,90h,2015-08-16T19:46Z,38519,56421,67826,86421,99135,117643,139977,163677,184008,216051,225481,245870,274878,291718,309624
H211,90h,2015-08-16T17:47Z,34425,49773,60456,77176,87673,94566,113297,150342,168824,187014,228232,248100,266077,285004,309734
