code,geography,catgory,value
E06000024,LA,1,85367
E06000024,LA,2,586
E06000024,LA,3,173
E06000024,LA,4,23938
E06000024,LA,5,1046
E06000024,LA,6,36453
E06000024,LA,7,1457
E06000024,LA,8,3085
E06000024,LA,9,12906
E06000024,LA,10,11151
E06000025,LA,-8,53045
E06000025,LA,1,110004
E06000025,LA,2,638
E06000025,LA,3,193
E06000025,LA,4,34224
E06000025,LA,5,1490
E06000025,LA,6,53959
E06000025,LA,7,1889
E06000025,LA,8,3479
E06000025,LA,9,13738
E06000025,LA,10,12372
E06000026,LA,-8,46014
E06000026,LA,1,84782
E06000026,LA,2,694
E06000026,LA,3,198
E06000026,LA,4,32626
E06000026,LA,5,1852
E06000026,LA,6,56498
E06000026,LA,7,1739
E06000026,LA,8,4442
E06000026,LA,9,16847
E06000026,LA,10,11804
E06000027,LA,-8,22275
E06000027,LA,1,49173
E06000027,LA,2,620
E06000027,LA,3,107
E06000027,LA,4,15772
E06000027,LA,5,838
E06000027,LA,6,26671
E06000027,LA,7,1131
E06000027,LA,8,2245
E06000027,LA,9,10379
E06000027,LA,10,8079
E06000030,LA,-8,46256
E06000030,LA,1,86386
E06000030,LA,2,508
E06000030,LA,3,218
E06000030,LA,4,25814
E06000030,LA,5,1165
E06000030,LA,6,43765
E06000030,LA,7,3095
E06000030,LA,8,3421
E06000030,LA,9,12429
E06000030,LA,10,9177
E06000031,LA,-8,48081
E06000031,LA,1,68861
E06000031,LA,2,334
E06000031,LA,3,226
E06000031,LA,4,24120
E06000031,LA,5,984
E06000031,LA,6,44008
E06000031,LA,7,3141
E06000031,LA,8,3533
E06000031,LA,9,12099
E06000031,LA,10,8078
E06000032,LA,-8,52561
E06000032,LA,1,72208
E06000032,LA,2,204
E06000032,LA,3,210
E06000032,LA,4,16304
E06000032,LA,5,725
E06000032,LA,6,53225
E06000032,LA,7,5541
E06000032,LA,8,3667
E06000032,LA,9,10149
E06000032,LA,10,8167
E06000033,LA,-8,34276
E06000033,LA,1,58479
E06000033,LA,2,468
E06000033,LA,3,140
E06000033,LA,4,21234
E06000033,LA,5,1072
E06000033,LA,6,38640
E06000033,LA,7,1376
E06000033,LA,8,3121
E06000033,LA,9,11580
E06000033,LA,10,8263
E06000034,LA,-8,39636
E06000034,LA,1,58146
E06000034,LA,2,185
E06000034,LA,3,227
E06000034,LA,4,19588
E06000034,LA,5,670
E06000034,LA,6,37124
E06000034,LA,7,2296
E06000034,LA,8,2730
E06000034,LA,9,8321
E06000034,LA,10,6403
E06000035,LA,-8,56982
E06000035,LA,1,93692
E06000035,LA,2,646
E06000035,LA,3,255
E06000035,LA,4,32788
E06000035,LA,5,1348
E06000035,LA,6,56058
E06000035,LA,7,2456
E06000035,LA,8,4684
E06000035,LA,9,15231
E06000035,LA,10,11884
E06000036,LA,-8,24132
E06000036,LA,1,46436
E06000036,LA,2,289
E06000036,LA,3,89
E06000036,LA,4,14232
E06000036,LA,5,600
E06000036,LA,6,22535
E06000036,LA,7,1068
E06000036,LA,8,1638
E06000036,LA,9,6606
E06000036,LA,10,4481
E06000037,LA,-8,29861
E06000037,LA,1,65437
E06000037,LA,2,346
E06000037,LA,3,125
E06000037,LA,4,16907
E06000037,LA,5,590
E06000037,LA,6,27039
E06000037,LA,7,1091
E06000037,LA,8,2024
E06000037,LA,9,8193
E06000037,LA,10,6969
E06000038,LA,-8,32675
E06000038,LA,1,53224
E06000038,LA,2,410
E06000038,LA,3,165
E06000038,LA,4,18973
E06000038,LA,5,1008
E06000038,LA,6,43764
E06000038,LA,7,3300
E06000038,LA,8,2290
E06000038,LA,9,7712
E06000038,LA,10,5643
E06000039,LA,-8,39566
E06000039,LA,1,54086
E06000039,LA,2,148
E06000039,LA,3,174
E06000039,LA,4,9665
E06000039,LA,5,418
